human_gene,CD4_T,CD8_T,other_T,B,NK,CD14_Mono,CD16_Mono,DC,other,skin_de
FGR,0.351746024,2.332676563,0.352525356,0.269196543,0.320653211,1.110167549,0.351883425,0.351599832,1.323729843,0
CSF3R,0.240105608,0.229117389,0.671208684,0.417471313,0.242411847,0.927056193,1.788984785,2.374863356,1.107431725,0
ST6GALNAC3,0.139796234,0.361496692,2.041139851,0.603566952,0.369049023,0.900180687,1.151728246,2.954523495,0.768635185,0
LRRC8D,2.388824459,0.322919535,0.209042586,2.182151203,0.586296493,0.936507472,1.044840567,0.822949592,1.205148414,0
EVI5,1.02796469,0.218084991,0.19593518,2.154521354,2.402381201,0.828694807,1.800505872,0.152713438,0.73633676,0
DPYD,0.365845474,0.602550858,0.327522181,0.689309812,1.876333636,1.073594252,1.022804483,0.750536647,0.578442578,0
SLC22A15,0.425729955,0.368599943,0.376682783,0.554514416,0.182585075,0.914494324,0.9936563,0.563523795,2.456013278,0
NOTCH2,0.28894698,0.279494346,1.232884544,1.271831395,0.740921322,0.873515006,1.109548012,0.692269633,0.33528333,0
CTSS,0.929333867,0.590336088,0.678403229,0.983794566,0.73808721,0.9355625,0.950100751,0.66076018,0.681806458,0
S100A9,0.584106936,1.029848803,0.556698098,0.936607839,1.077091306,0.741559294,0.951619538,0.632210922,0.317836229,0
S100A9,0.584106936,1.029848803,0.556698098,0.936607839,1.077091306,0.741559294,0.951619538,0.632210922,0.317836229,0
S100A8,0.638681748,0.692546601,1.108259217,0.246341782,0.244895617,0.562618242,-0.888299915,0.743354354,0.923186727,0
MNDA,0.872375955,0.160053311,0.827577656,0.906807464,0.14632719,0.86753875,1.042114635,0.72940433,0.697236844,0
MNDA,0.872375955,0.160053311,0.827577656,0.906807464,0.14632719,0.86753875,1.042114635,0.72940433,0.697236844,0
MNDA,0.872375955,0.160053311,0.827577656,0.906807464,0.14632719,0.86753875,1.042114635,0.72940433,0.697236844,0
RCSD1,0.139225258,0.868744187,0.258771089,0.677141993,0.176668017,0.816638817,1.14685573,0.628177865,0.590054824,0
NCF2,0.784977146,0.837229233,0.134118497,0.140673555,0.737678489,0.707819671,0.954307909,0.48300009,0.365956102,0
RGS18,0.263415208,0.130882522,0.142206683,0.773411065,0.870459538,0.747697749,0.934212716,0.652744766,0.703951751,0
NEK7,0.923027972,0.075193087,0.818330464,0.906018449,0.783379339,0.703517736,0.77964961,0.65852826,0.442552748,0
PTPRC,0.612686748,0.50331556,1.140459605,1.000427345,0.579901782,0.724606345,0.576920777,0.767787173,0.452600543,0
DISC1,0.110992685,0.626517497,0.166692039,0.785720147,0.792716108,0.71888228,0.681599512,0.693117037,1.096550895,0
LYST,0.601885854,0.26426304,0.054065932,0.801559075,0.786628723,0.75196304,0.810925248,0.623871081,0.401234023,0
CEP170,0.579847162,0.100410167,0.595945815,0.581136955,0.243399799,0.39413998,0.760696474,0.65133641,0.433000096,0
ASXL2,0.413465029,0.609586112,0.645210074,1.039501038,0.709377466,0.903614252,0.718834512,1.045581468,0.379076746,0
CDC42EP3,0.664877152,0.42072311,0.711477461,0.541965269,0.536485729,0.656696466,0.769579592,0.677933581,0.231309022,0
SLC8A1,0.38951845,0.638192985,0.718173556,0.822201008,0.719295009,0.658479618,0.784259752,0.247710674,0.883886388,0
CCDC88A,0.703381034,0.631820486,0.634182556,0.819160743,0.393022759,0.712636874,0.880880521,0.596517031,0.623867253,0
ARHGAP25,0.609918432,0.42420768,0.683371458,0.591609986,0.702279902,0.742303633,0.761848599,0.748902435,0.48498206,0
DYSF,0.743498287,0.52705314,0.725471925,0.654971168,0.058575135,0.568660783,0.123856618,0.605087605,0.355757038,0
TBC1D8,0.57562432,0.465455022,0.653600887,0.679335458,0.527670391,0.602380784,0.873156633,0.663513149,0.098342709,0
KYNU,0.64860426,0.510126009,0.433033062,0.928659168,0.749875052,0.85332605,0.759791233,0.568777073,0.514397375,0
BAZ2B,0.607726075,0.461452586,0.26868178,0.522452885,0.1008429,0.645941189,0.69848548,0.663177273,0.372981684,0
SESTD1,0.601498796,0.63082729,0.587524496,0.130494404,0.463461578,0.734886496,0.751320887,0.753829247,0.52514481,0
ZNF804A,0.478615859,0.583772742,0.935600775,0.522202844,0.616692362,0.610643836,0.908046391,0.733081656,0.844657892,0
NABP1,0.577307289,0.599589341,0.552243928,0.529065983,0.572380485,0.785634785,0.846111265,0.550306019,0.368236303,0
KANSL1L,0.100696068,0.461151407,0.582620675,0.156483252,0.625084565,0.697375856,0.684837378,0.609099945,0.678131794,0
SLC11A1,0.468931837,0.515468676,0.107046751,0.611328447,0.538816862,0.606215981,0.718782407,0.509488133,0.58133489,0
PID1,0.464096967,0.479151106,0.564295929,0.750023259,0.556319744,0.829612128,0.709675679,0.579006952,0.411546813,0
ATG7,0.4125309,0.38270725,0.140136684,0.466866495,0.645097421,0.635699135,0.62203787,0.690085258,0.635882158,0
UBE2E2,0.776441536,0.087756526,0.737009961,0.556335668,0.066298561,0.690607579,0.670266151,0.628080827,0.374740141,0
FRMD4B,0.600130136,0.613890098,0.616229726,0.658830901,0.044141876,0.751649313,0.769037881,0.25299731,0.325141378,0
CD86,0.614281934,0.543800882,0.459348495,0.711714519,0.455286275,0.592076719,0.760238236,0.370934958,0.338617901,0
DNAJC13,0.607034447,0.463363073,0.121076311,0.59832685,0.546583813,0.617869973,0.685034162,0.486721659,0.4892902,0
PLSCR1,0.424281252,0.646298735,0.047805276,0.473281029,0.429743431,0.658602489,0.685024,0.747927512,0.69012115,0
PLSCR1,0.424281252,0.646298735,0.047805276,0.473281029,0.429743431,0.658602489,0.685024,0.747927512,0.69012115,0
ANKUB1,0.646906906,0.531682713,0.662979953,0.593162245,0.384094487,0.737397659,0.807652538,0.450444872,0.62481626,0
RNF13,0.68847231,0.041262792,0.661736118,0.68939044,0.412599442,0.617127382,0.666846319,0.681618542,0.508647751,0
MBNL1,0.82466481,0.317644541,0.06160378,0.531883888,0.306485751,0.982240562,0.71464305,0.429481236,0.427701987,0
RBM47,0.570575952,0.539876664,0.626796704,0.461214358,0.526887703,0.590981554,0.80670049,0.437304878,0.521985425,0
PF4,0.490015471,0.606084194,0.413312445,0.723799322,0.484041598,0.565081358,0.632874142,0.56546225,0.099986181,0
PPBP,0.416544258,0.396501643,0.508443945,0.065046339,0.448279368,0.643690709,0.551648542,0.503436174,0.743537118,0
BMP2K,0.733780714,0.401539957,0.413566445,0.466196554,0.530407949,0.62754085,0.69731944,0.575272903,0.398283515,0
ANTXR2,0.548902327,0.427358615,0.574803496,0.610260741,0.501258499,0.638618919,0.675584161,0.572954075,0.527150547,0
WDFY3,0.554536975,0.536964811,0.540869888,0.474442741,0.631547734,0.568512682,0.535184621,0.29334075,0.352149222,0
ARHGAP24,0.529165367,0.408685722,0.51461657,0.838145326,0.442388692,0.733930858,0.54416298,0.469907666,0.71955089,0
