gene,baseMean,log2FoldChange,lfcSE,stat,pval,adj_pval
AP3B1,89.4750052,-1.142964,0.20828353,-5.4875392,4.08e-08,0.0006579
ZNF568,19.255208,-0.7744254,0.15594207,-4.9661095,6.83e-07,0.00551325
ZBTB26,6.95063395,0.98825443,0.20388913,4.84701869,1.25e-06,
TBC1D7,8.02055871,0.79174354,0.1696095,4.66803759,3.04e-06,0.01475946
POTEA,10.393294,0.68201658,0.14730514,4.62995766,3.66e-06,0.01475946
ZNF346,56.5965833,-0.7179501,0.15896507,-4.5164015,6.29e-06,0.02030643
SLC25A5,16.8586076,-0.6279353,0.14033608,-4.474511,7.66e-06,0.02060429
DAD1,12.3846316,0.71511488,0.16129597,4.43355713,9.27e-06,0.02137453
LMNA,21.1232968,-0.9613761,0.21959055,-4.3780397,1.2e-05,0.02416287
LGALS7B,21.629966,-0.7608973,0.17590092,-4.3257156,1.52e-05,0.02726876
GALNT9,5.46418793,1.10222547,0.25555249,4.31310789,1.61e-05,
OR5B12,9.0786254,1.1856548,0.27783608,4.26746154,1.98e-05,0.03094174
PDLIM4,10.3022598,-0.8101771,0.19049199,-4.2530769,2.11e-05,0.03094174
VIPR2,6.32087069,0.815593,0.19238001,4.23948945,2.24e-05,
WASHC3,10.1878948,0.67470794,0.15990716,4.21937289,2.45e-05,0.03107662
MTHFS,7.95480394,0.77135704,0.18302238,4.21455034,2.5e-05,0.03107662
HRC,14.287016,0.78897829,0.18979064,4.1570979,3.22e-05,0.03172473
ARHGAP31,11.1505008,1.26277447,0.30393718,4.154722,3.26e-05,0.03172473
MAP2K7,11.4253251,-0.6863252,0.16589543,-4.1370954,3.52e-05,0.03172473
NEK3,9.6741155,1.17286862,0.28353942,4.13652758,3.53e-05,0.03172473
FSHR,10.0352543,0.68645462,0.16597981,4.13577181,3.54e-05,0.03172473
UPRT,8.68815283,0.69938796,0.17083964,4.09382708,4.24e-05,0.03401447
GJA1,20.7326036,-0.7406307,0.18162825,-4.0777286,4.55e-05,0.03401447
NFIX,16.3324268,-0.6853084,0.16838774,-4.0698239,4.7e-05,0.03401447
DTHD1,8.35087778,0.72433393,0.17812446,4.06644836,4.77e-05,0.03401447
NECTIN1,10.1873999,-0.7782688,0.19155474,-4.0629055,4.85e-05,0.03401447
CHST8,3.61901863,1.10690481,0.2728142,4.05735777,4.96e-05,
GSTP1,18.6385178,-0.6732084,0.16672947,-4.0377287,5.4e-05,0.03630014
GYPB,11.0956396,0.60265151,0.15084979,3.99504369,6.47e-05,0.03663545
HNRNPDL,15.730423,-0.7531947,0.18853488,-3.9949886,6.47e-05,0.03663545
GK,16.6804818,0.57699215,0.14451522,3.99260482,6.54e-05,0.03663545
MIDN,11.1153399,-0.6219835,0.15596823,-3.9878859,6.67e-05,0.03663545
MAP2K5,11.8782054,-0.6162747,0.15456234,-3.9872245,6.69e-05,0.03663545
SYT8,24.6338772,-1.0579577,0.26562679,-3.9828728,6.81e-05,0.03663545
OR4D5,9.28898728,0.68424355,0.17245678,3.96762333,7.26e-05,0.03779985
IHO1,13.9928059,0.94435707,0.2390158,3.95102367,7.78e-05,0.03925413
ZBTB7C,9.01709386,0.68412413,0.1736572,3.93950925,8.16e-05,0.03993846
SYTL1,14.2939715,-0.602123,0.15333594,-3.926822,8.61e-05,0.04083872
PNN,22.4289057,-0.5864094,0.14960024,-3.9198429,8.86e-05,0.04083872
FAU,26.3157777,-0.5946653,0.15196371,-3.913206,9.11e-05,0.04083872
TGFB3,8.32539169,0.65814173,0.16936989,3.88582498,0.00010198,0.04398598
RNASE11,8.27996801,0.67123443,0.17317108,3.87613478,0.00010613,0.04398598
UBE4B,12.7758041,0.5388352,0.13902536,3.87580524,0.00010627,0.04398598
OR8U1,8.49772095,0.89745015,0.23379573,3.83860801,0.00012373,0.04993277
PREP,10.0076273,0.62044096,0.16310234,3.80399795,0.00014238,0.05498908
DEFA4,7.52379211,0.69021352,0.18169597,3.79872769,0.00014544,0.05498908
MS4A8,10.9975399,0.7051329,0.18592243,3.79261878,0.00014907,0.05498908
CSTB,21.0208699,-0.5470539,0.14443899,-3.7874389,0.00015221,0.05498908
DHRS1,1280.97241,-0.872596,0.23049989,-3.7856679,0.0001533,0.05498908
LY6D,11.7091279,-0.6588156,0.17433964,-3.7789205,0.00015751,0.05527222
TSPAN10,7.52085596,1.08674185,0.2883337,3.76904207,0.00016388,0.05628244
AP1M1,11.375565,0.60932247,0.16227466,3.7548836,0.00017342,0.05832039
ELAPOR2,8.51126597,0.67387918,0.1800317,3.74311392,0.00018175,0.05960497
HNRNPA0,13.2755986,-0.7206362,0.19273793,-3.7389432,0.0001848,0.05960497
SELENOM,10.9731501,0.78054463,0.2094715,3.72625704,0.00019434,0.05960497
NFIL3,8.23812189,0.773138,0.20749079,3.72613167,0.00019444,0.05960497
LENEP,7.76058987,0.68133561,0.18293356,3.72449757,0.0001957,0.05960497
HNRNPUL1,17.7774298,-0.6210612,0.16696401,-3.719731,0.00019944,0.05961631
PABPC1,31.7494346,-0.7612302,0.20515141,-3.7105774,0.00020679,0.06069013
MAS1,11.7454263,0.51511401,0.1393679,3.69607352,0.00021896,0.0631151
H2BW1,7.78517883,0.69804729,0.18928824,3.68774773,0.00022625,0.06407179
BCL2L2,21.4148695,-0.5449466,0.14809098,-3.6798091,0.00023341,0.06496003
FSD1,9.96233828,0.78913059,0.21517936,3.6673155,0.00024511,0.06706051
SIGLEC16,57.3260968,-0.6053863,0.16556335,-3.656524,0.00025566,0.0681913
MED4,13.0064249,-0.5528691,0.15133905,-3.6531822,0.00025901,0.0681913
CDHR1,14.5730681,-0.6923863,0.18967839,-3.6503171,0.00026192,0.0681913
