DB,timepoint,CellType,ExperimentType,Pathway,p.value,padj,ES,NES,nMoreExtreme,size,celltype,Celltype,negative_log10_of_adjusted_p_value,info
MSigDB,Post-flight vs Pre-flight,CD4,Multivariate (PolyA+ and Ribodepleted together),HALLMARK_OXIDATIVE_PHOSPHORYLATION,1.57e-05,9.57e-05,-0.589480394,-2.872279196,0,198,CD4;Multivariate (PolyA+ and Ribodepleted together),CD4_Multivariate,4.01908806222316,HALLMARK
MSigDB,Post-flight vs Pre-flight,CD4,Multivariate (PolyA+ and Ribodepleted together),HALLMARK_MYC_TARGETS_V1,1.57e-05,9.57e-05,-0.501572571,-2.442598622,0,197,CD4;Multivariate (PolyA+ and Ribodepleted together),CD4_Multivariate,4.01908806222316,HALLMARK
MSigDB,In-flight vs Pre-flight,CD4,Multivariate (PolyA+ and Ribodepleted together),HALLMARK_OXIDATIVE_PHOSPHORYLATION,1.85e-05,0.000112535,-0.574512432,-2.746573339,0,198,CD4;Multivariate (PolyA+ and Ribodepleted together),CD4_Multivariate,3.94871238472715,HALLMARK
MSigDB,In-flight vs Pre-flight,CD4,Multivariate (PolyA+ and Ribodepleted together),HALLMARK_MYC_TARGETS_V1,1.85e-05,0.000112535,-0.497223131,-2.375258772,0,197,CD4;Multivariate (PolyA+ and Ribodepleted together),CD4_Multivariate,3.94871238472715,HALLMARK
MSigDB,Post-flight vs Pre-flight,CD4,PolyA+,HALLMARK_OXIDATIVE_PHOSPHORYLATION,1.35e-05,0.000104333,-0.548681543,-2.608576736,0,198,CD4;PolyA+,CD4_PolyA,3.98157830469774,HALLMARK
MSigDB,Post-flight vs Pre-flight,CD4,PolyA+,HALLMARK_MYC_TARGETS_V1,1.35e-05,0.000104333,-0.391418762,-1.860045277,0,197,CD4;PolyA+,CD4_PolyA,3.98157830469774,HALLMARK
MSigDB,In-flight vs Pre-flight,CD4,PolyA+,HALLMARK_OXIDATIVE_PHOSPHORYLATION,1.99e-05,0.000143668,-0.516801894,-2.475527696,0,198,CD4;PolyA+,CD4_PolyA,3.8426399540024,HALLMARK
MSigDB,In-flight vs Pre-flight,CD4,PolyA+,HALLMARK_MYC_TARGETS_V1,1.99e-05,0.000143668,-0.377262662,-1.805918518,0,197,CD4;PolyA+,CD4_PolyA,3.8426399540024,HALLMARK
MSigDB,In-flight vs Pre-flight,CD4,Ribodepleted,HALLMARK_OXIDATIVE_PHOSPHORYLATION,1.39e-05,0.000114472,-0.547062328,-2.536020802,0,198,CD4;Ribodepleted,CD4_Ribodepleted,3.94130072932914,HALLMARK
MSigDB,In-flight vs Pre-flight,CD4,Ribodepleted,HALLMARK_MYC_TARGETS_V1,1.39e-05,0.000114472,-0.540483117,-2.503915191,0,197,CD4;Ribodepleted,CD4_Ribodepleted,3.94130072932914,HALLMARK
MSigDB,Post-flight vs Pre-flight,CD4,Ribodepleted,HALLMARK_OXIDATIVE_PHOSPHORYLATION,1.44e-05,0.00012033,-0.572384567,-2.668856508,0,198,CD4;Ribodepleted,CD4_Ribodepleted,3.91962608329869,HALLMARK
MSigDB,Post-flight vs Pre-flight,CD4,Ribodepleted,HALLMARK_MYC_TARGETS_V1,1.44e-05,0.00012033,-0.536019016,-2.497823529,0,197,CD4;Ribodepleted,CD4_Ribodepleted,3.91962608329869,HALLMARK
MSigDB,Post-flight vs Pre-flight,CD4,Ribodepleted,HALLMARK_UV_RESPONSE_DN,0.001777304,0.006821026,0.327510727,1.579950418,59,133,CD4;Ribodepleted,CD4_Ribodepleted,2.16615029504662,HALLMARK
MSigDB,Post-flight vs Pre-flight,CD8,Multivariate (PolyA+ and Ribodepleted together),HALLMARK_OXIDATIVE_PHOSPHORYLATION,1.51e-05,9.69e-05,-0.64609147,-3.097104916,0,198,CD8;Multivariate (PolyA+ and Ribodepleted together),CD8_Multivariate,4.01367622294923,HALLMARK
MSigDB,Post-flight vs Pre-flight,CD8,Multivariate (PolyA+ and Ribodepleted together),HALLMARK_MYC_TARGETS_V1,1.51e-05,9.69e-05,-0.637297137,-3.052505593,0,197,CD8;Multivariate (PolyA+ and Ribodepleted together),CD8_Multivariate,4.01367622294923,HALLMARK
