pathway,I4_Capsule_FD2_0,I4_Capsule_FD2_1,I4_Capsule_FD2_2,I4_Capsule_FD2_3,I4_Capsule_FD2_4,I4_Capsule_FD2_5,I4_Capsule_FD2_6,I4_Capsule_FD2_7,I4_Capsule_FD2_8,I4_Capsule_FD2_9,I4_Capsule_FD3_0,I4_Capsule_FD3_1,I4_Capsule_FD3_2,I4_Capsule_FD3_3,I4_Capsule_FD3_4,I4_Capsule_FD3_5,I4_Capsule_FD3_6,I4_Capsule_FD3_7,I4_Capsule_FD3_8,I4_Capsule_FD3_9,I4_Capsule_LM44_0,I4_Capsule_LM44_1,I4_Capsule_LM44_2,I4_Capsule_LM44_3,I4_Capsule_LM44_4,I4_Capsule_LM44_5,I4_Capsule_LM44_6,I4_Capsule_LM44_7,I4_Capsule_LM44_8,I4_Capsule_LM44_9,I4_Capsule_LM92_0,I4_Capsule_LM92_1,I4_Capsule_LM92_2,I4_Capsule_LM92_3,I4_Capsule_LM92_4,I4_Capsule_LM92_5,I4_Capsule_LM92_6,I4_Capsule_LM92_7,I4_Capsule_LM92_9
UNMAPPED,181987.0,366705.0,338569.0,363501.0,661752.0,401944.0,369751.0,360974.0,601901.0,545445.0,344026.0,400157.0,535927.0,516681.0,430621.0,270434.0,322803.0,459535.0,404161.0,426318.0,0,198612.0,321860.0,248378.0,469452.0,277972.0,261000.0,294503.0,313535.0,197491.0,688878.0,240283.0,671317.0,458724.0,384296.0,317674.0,415265.0,524117.0,480326.0
UNINTEGRATED,778152.0,603853.0,631403.0,615232.0,331513.0,568661.0,614464.0,611835.0,387127.0,436065.0,612213.0,572687.0,440850.0,466623.0,526897.0,686469.0,638647.0,501393.0,554047.0,532762.0,0,761366.0,646901.0,714976.0,490679.0,683210.0,707769.0,666821.0,647500.0,765356.0,267642.0,725182.0,305502.0,495846.0,573314.0,651684.0,555043.0,443596.0,495848.0
"12DICHLORETHDEG-PWY: 1,2-dichloroethane degradation",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.38653,5.85596,0.0,0.0,40.9846,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.216,0.0,5.47737,10.2541,3.19175,0.0,0.0,0.0,0.0
"14DICHLORBENZDEG-PWY: 1,4-dichlorobenzene degradation",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.04929,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.1469,0.0,0.0,30.819,4.21952,0.0,0.0,12.2024,0.0
1CMET2-PWY: folate transformations III (E. coli),0.0,88.4994,32.7758,0.0,0.0,101.946,0.0,0.0,0.0,0.0,194.872,0.0,57.5672,0.0,225.358,194.129,168.556,183.095,252.841,214.556,0,37.6704,64.1056,48.0717,137.4,71.6708,98.1198,0.0,0.0,23.2484,260.774,67.8382,124.487,265.709,207.215,0.0,31.453,234.344,53.8067
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.32283,0.0,0.0,0.0,0.0,0.0
4-HYDROXYMANDELATE-DEGRADATION-PWY: 4-hydroxymandelate degradation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.36753,0.0,0.0,0.0,0.0
AEROBACTINSYN-PWY: aerobactin biosynthesis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.50879,0.0,0.0,0.0,0.0,0.0,0.0
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.11766,8.54685,0.0,6.79088,0.0,0,0.0,0.0,5.18435,0.0,4.61557,0.0,0.0,0.0,0.0,54.8741,0.0,8.19433,33.8023,10.3437,0.0,0.0,0.0,0.0
ANAEROFRUCAT-PWY: homolactic fermentation,95.5045,69.4989,80.2874,0.0,0.0,102.653,0.0,0.0,0.0,0.0,104.308,0.0,0.0,0.0,96.4244,140.37,113.505,146.002,87.8786,154.066,0,104.179,63.0385,108.996,226.653,90.0089,0.0,191.017,103.504,70.2251,40.965,111.669,111.69,178.643,165.681,112.211,110.422,67.3822,103.049
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose),386.184,116.353,129.07,133.143,0.0,162.57,0.0,282.114,0.0,145.668,233.021,0.0,0.0,81.3871,193.815,265.791,180.164,204.629,183.18,202.361,0,344.396,171.843,224.335,315.887,212.203,514.114,475.245,315.64,312.079,86.7216,255.472,162.219,248.617,280.729,247.916,200.015,92.6932,153.424
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.5935,0.0,0.0,0.0,9.50081,6.85765,0.0,34.5706,33.9387,45.0017,0,0.0,0.0,18.5512,0.0,0.0,0.0,0.0,0.0,0.0,131.103,0.0,32.8117,81.2717,51.6653,0.0,0.0,36.1831,0.0
"ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.41321,0.0,16.9549,0.0,0.0,0.0,0.0
ARGININE-SYN4-PWY: L-ornithine biosynthesis II,41.6491,0.0,38.1497,102.945,0.0,69.4124,0.0,0.0,118.847,0.0,100.316,0.0,0.0,0.0,8.24051,83.4887,35.5754,0.0,9.22794,22.993,0,65.8406,48.3115,112.96,157.161,84.7331,33.0808,91.3318,247.548,33.0643,124.107,47.656,44.6261,101.852,138.584,64.6326,47.1183,68.6486,23.6557
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine),466.271,283.35,337.593,302.025,0.0,278.955,479.664,293.989,86.3413,182.081,329.945,0.0,188.47,132.53,339.114,363.556,339.507,304.532,351.33,265.682,0,435.397,390.073,388.991,277.768,389.845,428.985,425.137,493.927,408.168,318.819,406.745,163.73,331.313,288.22,354.621,349.754,266.092,234.022
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle),478.932,277.582,334.296,308.268,0.0,277.373,474.946,326.356,87.0825,195.506,351.137,0.0,170.185,118.553,304.375,356.429,335.621,304.174,312.558,237.048,0,448.625,394.079,400.684,292.174,418.937,439.819,431.007,464.512,427.991,307.399,439.176,168.426,353.763,309.661,372.904,359.707,304.107,228.353
ARO-PWY: chorismate biosynthesis I,351.12,208.091,227.731,212.812,0.0,204.656,0.0,204.693,0.0,87.3059,353.219,0.0,51.1041,84.0337,233.579,287.093,242.096,236.358,212.924,205.715,0,385.632,224.141,282.348,222.462,331.416,301.366,347.212,373.544,354.728,237.634,326.583,135.656,289.726,243.326,282.546,279.672,193.143,197.72
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis,46.4934,34.3827,47.5384,0.0,0.0,45.1268,0.0,98.864,0.0,48.6003,82.5511,0.0,0.0,0.0,19.4452,56.3858,3.98397,15.2454,9.55173,65.8104,0,65.3492,49.435,21.5865,89.064,66.4471,50.8547,55.915,0.0,59.0571,0.0,53.08,46.7231,30.2772,59.6015,26.5903,45.0399,12.8896,65.764
AST-PWY: L-arginine degradation II (AST pathway),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5352,0.0,4.63535,3.62151,0.0,0.0,0.0,10.3742,0.0
