pathway,C002_L-44,C002_L-92,C002_R+45,C002_R+82,C004_L-44,C004_L-92,C004_R+45,C004_R+82
UNMAPPED,209476.0,286500.0,313172.0,277538.0,321989.0,353632.0,405313.0,386243.0
UNINTEGRATED,739727.0,659969.0,631741.0,671919.0,626978.0,597464.0,545843.0,566050.0
1CMET2-PWY: folate transformations III (E. coli),420.292,446.905,452.504,425.922,394.247,380.864,368.998,346.28
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast,3.55071,4.88755,2.03556,2.1202,4.33417,0.0,0.0,0.0
ANAEROFRUCAT-PWY: homolactic fermentation,230.827,318.793,338.622,335.417,371.034,343.525,366.04,360.538
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose),565.189,577.97,582.978,523.234,556.602,521.073,511.453,487.846
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis,54.5864,89.5542,91.3954,76.9554,95.7798,124.698,121.556,124.277
ARGININE-SYN4-PWY: L-ornithine biosynthesis II,148.214,98.7825,113.81,214.209,110.926,114.142,91.7869,120.715
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine),441.224,566.577,547.545,416.778,532.131,496.018,523.329,485.371
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle),435.388,566.015,546.994,405.616,534.62,493.196,516.183,487.439
ARO-PWY: chorismate biosynthesis I,487.603,579.431,573.845,484.177,520.476,494.754,473.587,468.745
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis,343.363,221.789,255.625,293.87,212.362,213.091,198.131,184.293
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I,51.3787,50.2026,80.8863,93.6717,98.4611,86.8745,78.3196,86.3004
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis,640.326,619.374,581.642,531.996,546.166,505.805,515.788,517.938
CALVIN-PWY: Calvin-Benson-Bassham cycle,571.664,648.714,632.433,542.096,546.245,523.432,544.871,488.625
CENTFERM-PWY: pyruvate fermentation to butanoate,20.3634,29.7725,20.8228,27.3848,66.7968,47.3531,73.8535,65.3069
CITRULBIO-PWY: L-citrulline biosynthesis,69.1796,152.589,157.137,148.644,157.303,151.637,170.803,139.986
COA-PWY-1: superpathway of coenzyme A biosynthesis III (mammals),368.671,422.427,441.568,386.883,373.75,353.176,349.631,355.764
COA-PWY: coenzyme A biosynthesis I (prokaryotic),351.741,391.328,410.898,365.739,341.496,328.99,322.427,337.002
COBALSYN-PWY: superpathway of adenosylcobalamin salvage from cobinamide I,189.987,223.136,236.327,167.274,191.087,139.63,134.947,126.565
COLANSYN-PWY: colanic acid building blocks biosynthesis,125.876,175.763,154.574,164.539,187.042,164.558,170.229,173.642
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis,466.446,548.597,537.398,464.659,485.707,455.58,435.558,435.926
CRNFORCAT-PWY: creatinine degradation I,0.0,0.0,0.0,0.0,7.44265,0.0,2.2277,4.35161
DAPLYSINESYN-PWY: L-lysine biosynthesis I,72.4874,83.5651,75.6978,29.2401,43.3301,66.5544,39.6905,46.5336
DARABCATK12-PWY: D-arabinose degradation I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.899232
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis,695.178,580.024,605.334,669.679,518.054,466.103,464.636,421.583
FAO-PWY: fatty acid &beta;-oxidation I (generic),1.77186,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FASYN-ELONG-PWY: fatty acid elongation -- saturated,54.0656,52.9872,88.2743,98.8807,111.367,98.9864,91.7647,101.197
FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli),5.15283,6.36959,4.30319,1.98968,0.0,0.0,0.0,0.0
FERMENTATION-PWY: mixed acid fermentation,197.19,146.59,164.089,170.487,230.383,183.549,236.139,259.403
FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage,13.4917,22.9598,17.0607,0.0,25.585,0.0,11.5229,0.0
FUC-RHAMCAT-PWY: superpathway of fucose and rhamnose degradation,41.0578,48.9166,54.8739,55.1449,73.0291,91.5453,82.0399,85.8922
FUCCAT-PWY: fucose degradation,23.7617,30.8985,35.6642,33.4607,43.1463,69.424,70.4509,58.5375
GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation,39.7728,25.4547,36.8817,35.3191,51.9774,37.4229,43.9886,37.2759
GALACTARDEG-PWY: D-galactarate degradation I,0.0,0.0,0.0,0.0,0.0,0.0,1.48515,0.0
GALACTITOLCAT-PWY: galactitol degradation,29.9687,36.1645,48.3975,18.072,10.2271,19.3272,11.7741,13.6512
GALACTUROCAT-PWY: D-galacturonate degradation I,114.754,90.7987,87.7606,109.94,115.409,61.7007,87.8785,78.3039
"GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation",121.421,103.78,110.274,105.525,125.317,83.3017,95.179,82.9516
GLUCARDEG-PWY: D-glucarate degradation I,0.0,0.0,0.0,0.0,0.0,0.0,1.45565,0.0
GLUCARGALACTSUPER-PWY: superpathway of D-glucarate and D-galactarate degradation,0.0,0.0,0.0,0.0,0.0,0.0,1.48515,0.0
GLUCONEO-PWY: gluconeogenesis I,291.757,343.605,374.175,355.305,349.893,327.567,360.342,346.637
GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation,434.953,0.0,396.719,0.0,349.348,292.424,0.0,293.955
GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronosides degradation,132.419,104.562,94.2527,119.012,124.371,67.994,102.628,86.1276
GLUDEG-I-PWY: GABA shunt,26.8601,37.0117,52.3026,32.6895,54.9459,61.7445,61.789,63.8801
GLUTORN-PWY: L-ornithine biosynthesis I,411.525,505.233,469.299,366.704,460.532,406.318,415.802,407.819
GLYCOCAT-PWY: glycogen degradation I,58.3226,78.8995,83.2657,71.2855,105.411,53.2992,82.5359,93.1504
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose),569.556,756.908,759.751,555.212,735.601,675.195,632.321,655.056
GLYCOL-GLYOXDEG-PWY: superpathway of glycol metabolism and degradation,0.541652,0.0,0.0,0.0,0.0,0.0,0.0,0.600653
GLYCOLYSIS-E-D: superpathway of glycolysis and the Entner-Doudoroff pathway,102.814,85.4971,94.7834,126.534,56.0007,87.0358,81.5897,82.071
GLYCOLYSIS: glycolysis I (from glucose 6-phosphate),254.926,365.836,389.449,381.337,435.181,406.06,456.043,446.115
GLYOXYLATE-BYPASS: glyoxylate cycle,1.52393,0.0,0.0,1.94981,0.0,0.0,0.878833,1.95222
"GOLPDLCAT-PWY: superpathway of glycerol degradation to 1,3-propanediol",39.9411,56.8967,67.651,31.8709,29.8434,48.1668,30.417,23.6187
HEME-BIOSYNTHESIS-II-1: heme b biosynthesis V (aerobic),0.0,5.05721,2.17568,0.0,0.0,1.92863,0.0,2.02229
HEME-BIOSYNTHESIS-II: heme b biosynthesis I (aerobic),3.61525,8.37276,12.1394,4.80248,2.58786,4.73864,6.75585,2.85934
HEMESYN2-PWY: heme b biosynthesis II (oxygen-independent),11.9879,13.9967,19.4367,12.3708,3.01142,6.25893,7.54205,3.13638
HEXITOLDEGSUPER-PWY: superpathway of hexitol degradation (bacteria),61.1218,66.3466,78.8455,42.0822,25.997,47.9069,31.8425,35.7544
HISDEG-PWY: L-histidine degradation I,44.4889,77.2706,123.952,116.215,107.614,118.588,103.666,110.124
HISTSYN-PWY: L-histidine biosynthesis,381.102,411.18,401.877,401.931,377.884,337.963,355.882,342.06
HOMOSER-METSYN-PWY: L-methionine biosynthesis I,5.75684,2.25725,3.45734,2.86833,4.20229,0.877734,1.66371,2.76922
HSERMETANA-PWY: L-methionine biosynthesis III,312.839,330.382,339.475,279.154,398.333,339.405,380.042,384.484
