taxid,domain,phylum,class,order,family,genus,species,C002_L-44,C002_L-92,C002_R+45,C002_R+82,C004_L-44,C004_L-92,C004_R+45,C004_R+82
100134,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerocolumna,Anaerocolumna xylanovorans,0.0,13.9800103204659,0.0,0.0,0.0,0.0,0.0,0.0
100176,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Papillibacter,Papillibacter cinnamivorans,31.29349020481238,0.0,5.751934663117783,15.36941717461293,0.0,0.0,0.0,0.0
1002367,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella stercorea,0.0,0.0,5.702122343851167,4.848727622073412,0.0,7.894748305156654,0.0,0.0
1003195,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces cattleya,11.498812652447668,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1003237,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Nitrospirillum,Nitrospirillum amazonense,0.0,5.192771843304152,6.327797737655768,46.8561531502735,0.0,0.0,0.0,0.0
1005048,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,Collimonas fungivorans,0.0,0.0,0.0,0.0,5.0706853211849845,0.0,9.09099068154,0.0
100861,Eukaryota,,Oomycota,Saprolegniales,Saprolegniaceae,Aphanomyces,Aphanomyces euteiches,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.539679826230977
100883,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Coprobacillus,,0.0,0.0,0.0,0.0,0.0,0.0,8.135365013028443,0.0
100884,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Coprobacillus,Coprobacillus cateniformis,0.0,7.094500469610779,0.0,0.0,0.0,19.77684910500442,0.0,0.0
100886,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Catenibacterium,Catenibacterium mitsuokai,10.32864317367609,53.586226701388895,18.658551563717147,26.159041301632083,5.643551844928646,8.087719395153163,0.0,5.160547773840316
1009714,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa,0.0,0.0,0.0,0.0,8.140106667975994,0.0,0.0,0.0
1010633,Eukaryota,Streptophyta,Magnoliopsida,Poales,Poaceae,Digitaria,Digitaria exilis,0.0,0.0,8.677959292562633,0.0,0.0,0.0,0.0,0.0
101571,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia ubonensis,6.694570883700724,9.309801028420749,9.736920204447005,0.0,15.148770544402348,0.0,0.0,0.0
1016,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,,0.0,10.23245590826054,0.0,0.0,0.0,0.0,0.0,0.0
1017280,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Pseudoflavonifractor,,0.0,0.0,0.0,0.0,12.144990153456968,0.0,5.6000195569959175,0.0
10195,Eukaryota,Rotifera,Monogononta,Ploima,Brachionidae,Brachionus,Brachionus plicatilis,0.0,0.0,0.0,0.0,0.0,0.0,7.951295626461572,0.0
102106,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,,4497.175520237529,4688.270381724133,4923.4556791181985,4165.871271349384,0.0,16.603576598613344,15.876316713381122,0.0
102148,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Solobacterium,Solobacterium moorei,0.0,10.000588127122576,0.0,0.0,0.0,9.989344669902891,0.0,0.0
102294,Viruses,Uroviricota,Caudoviricetes,Caudovirales,,,,0.0,0.0,0.0,0.0,18.544983348405683,0.0,0.0,13.200828412275328
1031711,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia,Ralstonia solanacearum,9.339592764244042,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1032506,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella sp. MSX73,0.0,13.489441394794182,13.37615925434205,8.740916189902553,0.0,0.0,0.0,0.0
1034346,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Dielma,Dielma fastidiosa,0.0,0.0,0.0,0.0,0.0,20.027604017214372,14.142639932925716,19.86520040799561
1035,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Afipia,Afipia felis,30.106953461582112,9.923528211729543,16.57394683217919,0.0,0.0,0.0,0.0,0.0
1035197,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Alloprevotella,Prevotella sp. oral taxon 473,0.0,0.0,0.0,10.14309610963901,0.0,7.181588434257295,0.0,0.0
1035309,Eukaryota,Ascomycota,Sordariomycetes,Microascales,Ceratocystidaceae,Ceratocystis,Ceratocystis fimbriata,0.0,0.0,0.0,0.0,0.0,0.0,8.552953060019359,0.0
1035817,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium longum,0.0,14.85329869200703,0.0,0.0,0.0,0.0,0.0,0.0
1036673,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Paenibacillus mucilaginosus,0.0,15.04250830569528,14.99775439531983,0.0,0.0,0.0,0.0,0.0
1036778,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bosea,Bosea lathyri,0.0,0.0,0.0,0.0,0.0,3.552764399253291,0.0,0.0
103796,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas syringae,10.70275207558892,0.0,0.0,5.109601909594577,0.0,0.0,15.007337981449153,7.466738047398296
103836,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Streptosporangiaceae,Thermopolyspora,Thermopolyspora flexuosa,0.0,7.848242767048879,0.0,0.0,0.0,0.0,0.0,0.0
1041521,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus,Ligilactobacillus salivarius,0.0,0.0,0.0,0.0,0.0,0.0,12.824779882188738,0.0
1041809,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Candidatus Arthromitus,Candidatus Arthromitus sp. SFB-mouse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.564772875517939
1042156,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium sp. SY8519,0.0,0.0,5.303460470638682,0.0,0.0,7.622223673880246,18.2115033176216,0.0
1042402,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus lactis,0.0,3.894621884663044,0.0,0.0,0.0,0.0,0.0,0.0
1042403,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium animalis,24.988496187238187,11.013547595313575,17.490166868525787,0.0,0.0,0.0,0.0,0.0
1042404,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus thermophilus,17.14803693138042,19.878362014087504,0.0,0.0,0.0,0.0,0.0,0.0
104608,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,Leptotrichia sp.,0.0,0.0,11.053761942960838,0.0,0.0,0.0,0.0,0.0
