gene,Preflight,R+1,R+45,R+82
HBA1,0.218178937284256,0.963302752293578,0.0235294117647059,0.0873108265424912
HBA2,0.404353426743366,1.81651376146789,0.0470588235294118,0.176949941792782
LUC7L,0.208816144534684,0.330275229357798,0.458823529411765,0.235157159487777
HBB,3.22224097157443,5.90825688073394,0.0941176470588235,0.731082654249127
HBG2,0.00892978171827408,0.0642201834862385,0.0117647058823529,0.00232828870779977
FLVCR1,0.0262298011668115,0.036697247706422,0.0117647058823529,0.0360884749708964
CD44,1.29819161323353,1.43119266055046,2.15294117647059,1.23864959254948
E2F2,0.00645220752646655,0.0458715596330275,0.0117647058823529,0.0151338766006985
ICAM1,0.0459830295988617,0.0275229357798165,0.105882352941176,0.0768335273573923
ACVR1B,0.0494959321680656,0.137614678899083,0.0117647058823529,0.0942956926658906
ARID1A,0.298705715772462,0.669724770642202,0.4,0.401629802095461
ARID1B,1.8704788820598,2.10091743119266,1.34117647058823,2.0302677532014
ATF4,0.0989292397098527,0.119266055045872,0.105882352941176,0.136204889406286
BCL11A,0.0901902516681022,0.055045871559633,0.0117647058823529,0.089639115250291
CHD3,0.100390564891916,0.26605504587156,0.0470588235294118,0.188591385331781
CHD4,0.18459011326298,0.18348623853211,0.435294117647059,0.238649592549476
DPF2,0.0566657890493155,0.0642201834862385,0.0235294117647059,0.0663562281722933
DR1,0.103814715679666,0.137614678899083,0.129411764705882,0.0966239813736903
EIF2A,0.0794129427919341,0.128440366972477,0.129411764705882,0.080325960419092
EIF2AK1,0.106678424725518,0.357798165137615,0.0705882352941176,0.110593713620489
GATA2,0.53568278042601,0.853211009174312,0.352941176470588,0.61001164144354
GATAD2B,0.494586611183798,0.605504587155963,0.352941176470588,0.499417927823051
HBS1L,0.162019699572955,0.339449541284404,0.376470588235294,0.197904540162981
HDAC1,0.0795945156131146,0.0825688073394495,0.0823529411764706,0.0686845168800931
HDAC2,0.100788580302071,0.137614678899083,0.105882352941176,0.116414435389988
KLF3,0.446584658946654,0.706422018348624,0.541176470588235,0.597206053550642
LDB1,0.0300973668626791,0.0275229357798165,0.0705882352941176,0.0465657741559953
LMO2,0.0706076468159019,0.174311926605505,0.0235294117647059,0.0547147846332945
MAPK1,0.40661727677853,0.541284403669725,0.6,0.523864959254949
MAPK14,1.84469669930296,2.65137614678899,2.24705882352941,3.12572759022116
MBD2,0.107992728025712,0.238532110091743,0.129411764705882,0.119906868451688
MBD3,0.0342234772877496,0.00917431192660551,0.0235294117647059,0.0419091967403958
MBD4,0.0804007573351106,0.0825688073394495,0.105882352941176,0.0989522700814901
MTA2,0.0311200176127566,0.0275229357798165,0.0352941176470588,0.0256111757857974
MYB,0.026722844245406,0.155963302752294,0.0235294117647059,0.0477299185098952
NFE2,0.0710486285592796,0.128440366972477,0.0352941176470588,0.0733410942956926
NFE2L2,0.486853015202916,0.724770642201835,0.847058823529411,0.81606519208382
NFYB,0.0201640808837657,0.055045871559633,0.0352941176470588,0.0186263096623981
NR2C1,0.10893965701103,0.18348623853211,0.0823529411764706,0.10360884749709
NR2C2,0.199951965971939,0.513761467889908,0.223529411764706,0.329452852153668
POLD3,0.0337281604586566,0.018348623853211,0.0588235294117647,0.0465657741559953
POU2F1,0.319181745156366,0.513761467889908,0.729411764705882,0.41327124563446
RBBP4,0.129722256761975,0.201834862385321,0.0941176470588235,0.186263096623982
RBBP7,0.0955350252386306,0.073394495412844,0.141176470588235,0.160651920838184
RUNX1,4.53043539217667,6.73394495412844,5.6,8.49010477299181
SAP18,0.109294060040773,0.174311926605505,0.129411764705882,0.0826542491268917
SIN3A,0.154963060364132,0.192660550458716,0.282352941176471,0.161816065192084
SMARCA2,0.454730777033676,1.04587155963303,0.705882352941176,0.696158323632132
SMARCA4,0.118863336184331,0.247706422018349,0.0705882352941176,0.152502910360885
SMARCB1,0.0574880393172574,0.0458715596330275,0.117647058823529,0.0954598370197905
SMARCE1,0.128420152846375,0.247706422018349,0.0470588235294118,0.144353899883586
SP1,0.0609854787050261,0.110091743119266,0.117647058823529,0.116414435389988
TAL1,0.0401462365569746,0.100917431192661,0.0117647058823529,0.0454016298020954
TCF3,0.0454312969086894,0.036697247706422,0.0235294117647059,0.0465657741559953
TFCP2,0.160586741735672,0.229357798165138,0.105882352941176,0.165308498253784
YY1,0.149097866416571,0.256880733944954,0.211764705882353,0.214202561117579
ZBTB7A,0.298520971446895,0.26605504587156,0.647058823529411,0.499417927823051
ZFPM1,0.00953895387676136,0.0458715596330275,0.0352941176470588,0.0337601862630966
