gene,Pre1 - Normalized means,Pre2 - Normalized means,Pre3 - Normalized means,Flight1 - Normalized means,Flight2 - Normalized means,Flight3 - Normalized means,Flight4 - Normalized means,Post1 - Normalized means,Post2 - Normalized means,Post3 - Normalized means,Post4 - Normalized means
HBA1,5521.83333333333,6488.1,4796.56666666667,4278.83333333333,3069.48333333333,3583.9,5468.53333333333,8633.38333333333,9217.66666666667,8912.25,11171.84
HBA2,5802.58333333333,5598.4,5448.88333333333,4611.56666666667,3600.23333333333,3745.03333333333,6227.01666666667,7744.85,7851.96666666667,7449.7,9952.66
HBB,19037.8833333333,17009.8,19392.5333333333,15182.9666666667,11575.6333333333,13758.4666666667,20102.5333333333,28207.6833333333,30077.55,24603.15,32611.1
HBBP1,0,0.22,0,0,1.48333333333333,0,0,1.26666666666667,0,0,0
HBD,103.6,115.86,85.5333333333333,31.5333333333333,40.2,68.45,76.9,112.816666666667,92.9166666666667,96.3833333333333,248.32
HBE1,0,0,0,0.666666666666667,2.66666666666667,0,2.23333333333333,0.7,0,2.65,0
HBG1,55.2333333333333,59.48,57.5,33.1333333333333,33.2166666666667,40.9833333333333,85.2,32.35,39.4666666666667,48.9666666666667,91.4
HBG2,40.05,30,35.8833333333333,63.25,39.7666666666667,23.0166666666667,73.3333333333333,44.7166666666667,36.3333333333333,18.3166666666667,18.56
HBM,2.21666666666667,28.8,27.65,15.3833333333333,8.51666666666667,19.1,26.2666666666667,18.8833333333333,12.9166666666667,64.5,53.04
HBQ1,24.4833333333333,7.62,7.88333333333333,18.7,24.0166666666667,24.4833333333333,5.36666666666667,28.2,6.35,20.6166666666667,5.56
HBZ,0,0,0,0,0,0.216666666666667,0,1.26666666666667,0,0,0
HBZP1,0,0,0,0,0,2.05,0,0,0,1.1,0
LUC7L,58,59.16,92,74.15,49.0833333333333,71.45,59.1666666666667,30.3333333333333,34.5,76.9166666666667,53.64
,,,,,,,,,,,
TAF Feature ID,Pre1 - Normalized means,Pre2 - Normalized means,Pre3 - Normalized means,Flight1 - Normalized means,Flight2 - Normalized means,Flight3 - Normalized means,Flight4 - Normalized means,Post1 - Normalized means,Post2 - Normalized means,Post3 - Normalized means,Post4 - Normalized means
ALAS2,255.6,150.92,230.416666666667,92.6666666666667,99.3166666666667,119.983333333333,181.066666666667,417.75,451.15,471.683333333333,514.08
ARID1A,285.95,324.22,367.466666666667,422.85,342.683333333333,299.416666666667,339.216666666667,361.933333333333,406.733333333333,430.316666666667,594.26
ARID1B,293.483333333333,322.64,218.4,246.683333333333,118.816666666667,210.966666666667,185.166666666667,218.733333333333,256.266666666667,226.866666666667,355.9
ATF4,508.2,403.76,490.266666666667,464.783333333333,638.316666666667,501.95,555.216666666667,415.783333333333,487.933333333333,350.016666666667,314.52
BCL11A,68.2166666666667,82.76,90.75,119.333333333333,38.4,86.35,62.8666666666667,68.4,124.783333333333,121.3,76.02
CD44,501.2,755.14,488.95,658.4,424.716666666667,562.733333333333,509.566666666667,633.333333333333,709.8,490.3,595.42
CHD3,409.6,505.32,350.45,474,282.933333333333,403.533333333333,459.066666666667,412.75,408.9,342.333333333333,493.46
DPF2,60.6333333333333,63.28,28.5166666666667,41.2666666666667,47.75,36.55,29.8166666666667,73.2,128.683333333333,20.55,22.24
DR1,239.25,191.1,237.683333333333,200.75,200.866666666667,174.75,219.633333333333,157.65,206.15,216,258.42
E2F2,30.9833333333333,23.62,66.9166666666667,8.8,24.2666666666667,39.8,21.7,52.1833333333333,43.05,34.1666666666667,67.34
EPO,0.85,2.24,3.68333333333333,0,0,0,0,3.25,6.7,1.1,0
FLVCR1,35.8,20.8,20.5,49.6833333333333,30.1166666666667,12.8666666666667,11.2833333333333,5.8,27.9166666666667,38.2833333333333,26.32
GATA1,16.9,19.64,24.8166666666667,11.0333333333333,37.8,15.35,20.5833333333333,51.5833333333333,38.3,3.95,0
GATA2,34.0333333333333,49.26,94.4833333333333,77.15,81.5333333333333,85.3833333333333,61.45,136.233333333333,82.95,60.5,25.68
GATAD2B,150.866666666667,140.7,136.683333333333,88.8666666666667,133.683333333333,86.4333333333333,112.883333333333,108.133333333333,87.35,114.816666666667,227.94
HBS1L,128.716666666667,83.42,104.266666666667,138.033333333333,87.0333333333334,77.2833333333333,104.433333333333,134.283333333333,130.716666666667,80.8833333333334,187.16
HDAC1,70.9833333333333,130.88,135.366666666667,106.75,85.7833333333333,117.616666666667,108.583333333333,137.2,122.366666666667,116.55,166.42
HDAC2,107.816666666667,101.98,100.233333333333,97.7333333333333,77.0833333333333,105.483333333333,164.6,160.9,182.583333333333,164.416666666667,48.24
IL3,4.55,0,0,0,0,0,0,1.36666666666667,0,5.81666666666667,6.98
KLF1,1.18333333333333,15.2,29.4166666666667,8.9,7.76666666666667,5.3,7.78333333333333,21.8666666666667,17.3333333333333,33.3833333333333,91.18
KLF3,279.616666666667,246.22,348.916666666667,264,236.7,279.366666666667,244.783333333333,365.35,353.766666666667,294.683333333333,372.4
LDB1,133.3,149.6,122.066666666667,167.016666666667,71,72.6,109.083333333333,101.533333333333,63.2666666666667,109.933333333333,107.94
LIN28B,0,0,0,1.88333333333333,0,0,0.8,0,0,0.85,0
LMO2,116.033333333333,71,62.95,51.85,86.2166666666667,94.6666666666667,83.35,139.766666666667,86.8166666666667,97.8,108.6
MAPK1,393.316666666667,385.16,383.15,388.016666666667,263.533333333333,286.966666666667,386.133333333333,353.266666666667,378.666666666667,374.316666666667,604.32
MBD2,411.883333333333,585.8,393.25,450.366666666667,306.516666666667,349.083333333333,230.366666666667,545.7,356.033333333333,453.066666666667,473.52
MBD3,14.6166666666667,21.96,32.2333333333333,29.8333333333333,14.7833333333333,33,17.5666666666667,55.7166666666667,62.9,56.9333333333333,59.3
MBD4,143.816666666667,156.62,68.1833333333333,132.35,108.383333333333,87.2333333333333,145.85,117.1,78.5333333333333,161.4,125.96
MECP2,157.95,152.56,186.283333333333,127.25,86.4166666666667,160.5,136.516666666667,108.666666666667,102.4,196.933333333333,131.58
MTA2,142.85,211.9,112.7,190.083333333333,93.3333333333333,107.8,164.666666666667,128.483333333333,126.683333333333,93.6,146.26
MYB,30.6,18.8,16.9666666666667,20.6833333333333,12.7333333333333,31.4666666666667,11.2166666666667,23.0166666666667,21.1,11.2333333333333,29.1
NANOG,4.31666666666667,0,0.866666666666667,10.9166666666667,0,2.13333333333333,0,2.53333333333333,0,7.58333333333333,2.92
NFE2,41.1666666666667,52.68,48.9833333333333,64.9333333333333,87.6666666666667,65.75,51.9333333333333,43.0666666666667,32.8166666666667,18.0166666666667,38.4
RUNX1,156.566666666667,168.96,229.133333333333,164.433333333333,178.266666666667,141.733333333333,157.65,191.133333333333,137.5,166.333333333333,106.9
SAP18,138.45,198.38,180.116666666667,198.966666666667,174.183333333333,136.683333333333,194.083333333333,184.316666666667,293.9,234.933333333333,233.16
SAP30,24.0666666666667,22.74,29.6,18.5,27.6666666666667,10.2166666666667,7.5,36.7666666666667,23.1,54.0166666666667,1.96
SMARCA2,584.916666666667,553.5,440.583333333333,609.883333333333,480.733333333333,484.716666666667,493.366666666667,408.616666666667,559.9,365.383333333333,371.94
SMARCA4,231.416666666667,220.18,227.433333333333,206.95,149.533333333333,195.2,209.633333333333,197.216666666667,260.783333333333,199.566666666667,323.56
SMARCB1,110.866666666667,92.7,78,92.9333333333333,67.55,78.0833333333333,70.5833333333333,110.616666666667,75.8,82.3666666666667,176.14
SMARCE1,173.983333333333,187.06,105.166666666667,126.133333333333,90.55,149.483333333333,147.466666666667,145.133333333333,142.483333333333,153.083333333333,164.48
SOX6,49.7833333333333,25.44,57.0166666666667,25.2333333333333,20.6,27.5,31.2666666666667,56.8333333333333,44.1666666666667,46.6,113.58
SP1,243.716666666667,314.84,347.216666666667,251.316666666667,261.3,277.25,288.5,226.266666666667,278.433333333333,336.616666666667,404.76
TAL1,181.95,123.52,191.55,155.133333333333,252.616666666667,272.5,181.933333333333,133.45,163.416666666667,163.833333333333,122.96
YY1,208.15,233.74,218.666666666667,236.4,179.266666666667,190.166666666667,115.7,260.066666666667,164.65,176.2,313.16
