SuperPathway,SubPathway,metabolite_name,annotation_confidence,Formula,Mass,RT,CAS ID,Mode,KEGG,HMDB,C001_June_Pre,C002_June_Pre,C003_June_Pre,C004_June_Pre,C001_Aug_Pre,C002_Aug_Pre,C003_Aug_Pre,C004_Aug_Pre,C001_Sept_Pre,C002_Sept_Pre,C003_Sept_Pre,C004_Sept_Pre,C001_Sept_Post,C002_Sept_Post,C003_Sept_Post,C004_Sept_Post,C001_Nov_Post,C002_Nov_Post,C003_Nov_Post,C004_Nov_Post,C001_Dec_Post,C002_Dec_Post,C003_Dec_Post,C004_Dec_Post
Amino acids,"Alanine, Aspartate, and Glutamate metabolism",Alanine,1,C3H7NO2,89.0472,9.56,56-41-7,ANPPOS,C00041,HMDB00161,6.315321986676649,6.203296485794332,6.195671380359527,6.092918803332495,6.15327875133437,6.279480093364884,6.237280769639126,6.237366013010453,6.194985843425881,6.177918395688068,6.257411197522607,6.222621800236119,6.051874587873306,6.224704985361837,6.1428566757823235,6.266332142139241,6.185432221660038,6.1770043436426105,6.082349421418695,6.2209598821194465,6.140046163222859,6.095911029934709,6.009755475020452,6.148713990184495
Amino acids,"Alanine, Aspartate, and Glutamate metabolism",Succinic Semialdehyde,1,C4H6O3,102.0319,2.45,692-29-5,ANPNEG,C00232,HMDB01259,5.081840380564728,5.22808787255933,4.979297422035705,5.019088029216775,5.100669278315829,5.006890288292848,5.03251641966682,4.9460597979770276,4.939773115881968,4.954548530951209,4.851732938335825,4.720660066340773,4.94941230636208,4.887249400636495,5.338215971307237,5.149649189982889,4.986578945322585,5.16649435033482,5.771958640342549,4.896668166698281,5.033961465082596,5.287788521804415,5.7042844751673,5.594767892623489
Amino acids,"Alanine, Aspartate, and Glutamate metabolism",4-Aminobutanoate (GABA),1,C4H9NO2,103.0629,9.14,56-12-2,ANPPOS,C00334,HMDB00112,6.279947411350932,5.996821915506556,6.377838227333916,5.879402015162465,6.00141479590818,6.152934411855409,6.041575839840683,6.1932548671596885,6.045082289484705,5.9642901853460915,6.330126719439432,6.145312658367604,6.240114486664136,6.258637522136625,6.307130263594197,6.318558941200285,6.146014173557187,6.080947399961821,6.476806566766687,6.128518812500335,5.885677212617666,6.194538484099559,6.261708119524903,6.15307547752682
Amino acids,"Alanine, Aspartate, and Glutamate metabolism",Asparagine,1,C4H8N2O3,132.0506,9.66,70-47-3,ANPNEG,C00152,HMDB00168,5.639505912555332,5.3809805278979885,5.3122016948734885,5.364148030817483,5.4408343329230675,5.614203055332159,5.618001734609714,5.2389649310377635,5.5235381115223605,5.578719071557248,5.806068807513484,5.4947738571214435,5.522772373535967,5.5309923625063435,5.66045270214647,5.428655796820897,5.511759870161415,5.487468709720913,5.539872912791053,5.281540354449265,5.465275603165525,5.151228842558541,5.308274716168867,5.398921966699991
Amino acids,"Alanine, Aspartate, and Glutamate metabolism",Glutamine,1,C5H10N2O3,146.0695,9.89,56-85-9,ANPPOS,C00064,HMDB00641,7.230808062111446,7.237579877580437,7.301377010283493,7.234570706546745,7.253151378557838,7.327913251175045,7.162224723532642,7.2849848332658915,7.2093788874647755,7.149267775551723,7.14780514067956,7.1122770457232924,7.234146937691246,7.260383013689246,7.206488424933562,7.279551215610172,7.279551968526403,7.23303943608981,7.218969504002861,7.240722257704766,7.238564236103536,7.309655564394907,7.134026258114282,7.257955691087849
Amino acids,"Alanine, Aspartate, and Glutamate metabolism",Glutamic Acid,1,C5H9NO4,147.0529,9.53,56-86-0,ANPPOS,C00025,HMDB00148,5.964739164091923,6.084898929998356,6.163167937069339,5.9364170710388775,5.803647794614493,5.794884238027276,5.773625053393953,6.10022265300852,6.114174469093115,6.085537096161953,6.223103003213828,6.213475786449597,5.851691020732135,5.748514400727304,6.100052635525089,6.230819446387434,5.803047688939303,5.9108945011353375,5.934930208066851,6.112502112491337,5.675504668264744,5.543589933258382,5.83994546365922,6.078551424492429
Amino acids,"Alanine, Aspartate, and Glutamate metabolism",3-Hydroxyglutaric Acid,1,C5H8O5,148.0378,8.32,,ANPNEG,,HMDB00428,5.322366723024579,5.637165188301185,5.600103436974119,5.77581280465444,5.60154146000712,5.675764689586556,5.295717482746113,5.465120261887049,5.864143852077178,5.5516123400862085,5.387023547437058,5.610697204274838,5.648718424376812,5.6280768412235105,5.40829068658818,5.437216877038696,5.856081315086117,5.534029280711797,5.40004453021363,5.4026207091962695,5.885529985287065,5.522231859841818,5.358941129206221,5.4215947144649315
Amino acids,"Alanine, Aspartate, and Glutamate metabolism",N-Acetylaspartic Acid,1,C6H9NO5,175.0483,8.58,997-55-7,ANPPOS,C01042,HMDB00812,5.70949307333964,5.59167775414764,5.753062972939107,5.626771675522417,5.694740379467996,5.664366553059074,5.5501477258350755,5.665250782949586,5.7187482449877445,5.589543809786408,5.547715401072542,5.6513188241290555,5.627226532243437,5.664403424099239,5.532026549072706,5.6956522961852025,5.695286199987828,5.542200913156769,5.54571041470784,5.628480888557099,5.59919387413032,5.64710998307378,5.547029737742807,5.650933640957882
Amino acids,"Alanine, Aspartate, and Glutamate metabolism",N-Acetylaspartiylglutamate (NAAG),1,C11H16N2O8,304.093,9.24,,ANPNEG,C12270,HMDB01067,4.535537029098531,4.544353716143652,4.512583413678413,4.24567426438577,4.453946083940109,4.468244505669359,4.694854824572405,4.574821774487313,4.43995400096618,4.618829019604333,4.561354131519045,4.475841386786973,4.36385293707246,4.513260627727081,4.466742057007758,4.64604898925463,4.607912989152671,4.578817016582161,4.523720460375322,4.5376811059793045,4.802211719878225,4.66999206929854,4.689779134508172,4.844560236718187
Amino acids,Arginine and Proline metabolism,Urea,1,CH4N2O,60.0315,2.78,57-13-6,ANPPOS,C00086,HMDB00294,6.909402822492267,6.757184296591237,6.926162774152165,6.928991164976728,6.8765670992684536,6.866902419727278,6.868110733500831,6.905601348407956,6.890605205556903,6.843232030388071,7.02291201224935,6.870541078527949,6.848353809653021,6.89279786842821,6.888664475475524,6.9861316410417595,6.831015888933595,6.870040690273689,6.884727015228095,6.9006494102538545,6.906292095177722,6.853791994659521,6.927883923074774,6.8250541141261385
Amino acids,Arginine and Proline metabolism,Creatinine,1,C4H7N3O,113.059,8.9,60-27-5,ANPPOS,C00791,HMDB00562,7.938063346172981,7.86470474982105,7.957714616836119,7.958560524473877,7.922242193562073,7.911438674156752,7.906660279838618,7.954949678967942,7.961872402345995,7.871557659085549,7.9103286745282455,7.944984988571785,7.909989171675045,7.9160967168493075,7.591444137013035,7.944440819938092,7.947586977266961,7.88770962310402,7.895494016410403,7.935401913963686,7.941214097544182,7.881459387798303,7.876123613878705,7.952435269349913
Amino acids,Arginine and Proline metabolism,Proline,1,C5H9NO2,115.0635,10.29,,ANPPOS,C00148,HMDB00162,7.148553516294074,7.00378780993015,7.112756107043079,7.128040019385849,7.084193644325543,7.035491295564886,7.125766927740961,7.135651267825453,7.057309889629691,6.955700014270232,7.187428465762514,7.065169798287279,7.137539121924213,7.000178458361381,7.2395054635775296,7.225057473044927,7.012841862776814,7.048944990536664,7.192925807460581,7.122451709882111,7.076927536449473,6.927786849831946,7.1617603074001055,7.03453717702046
Amino acids,Arginine and Proline metabolism,4-Hydroxy-Proline,1,C5H9NO3,131.0585,9.53,2584-71-6,ANPNEG,C01157,,5.365646136624588,5.099441678891455,5.500495546710054,5.751548914154567,5.285004075155898,5.364393757918855,5.400387730320089,5.162210315196558,5.417514041078482,5.170904464871086,5.39892716643246,5.13305197020357,5.590088352434136,5.293438577218461,5.644783327726069,5.437102759240878,5.15925098153702,5.465764327571141,5.196891311034311,5.562049710475242,5.317549394242931,5.110350951046861,5.320520989131069,5.046305094525129
Amino acids,Arginine and Proline metabolism,Ornithine,1,C5H12N2O2,132.087,25.87,70-26-8,ANPPOS,C00077,HMDB00214,5.532019277367676,5.550587751201455,5.710320411686221,5.816544735969505,5.779872274456683,5.675906595366384,5.5874567105039645,5.726248895871877,6.044036188668325,5.815922390889447,5.862230337068962,5.983801818460912,5.634254422950025,5.476980665319075,5.547180435115146,5.715463229985651,5.782578819832029,5.494834873224375,5.625421834113228,5.687902365239693,5.773143593792645,5.525076697341349,5.459691113319623,5.741340330121265
Amino acids,Arginine and Proline metabolism,Arginine,1,C6H14N4O2,174.109,25.27,74-79-3,ANPPOS,C00062,HMDB00517,6.074654463931744,6.100624498657566,5.860061167940432,5.912940944180224,5.913786681647304,6.353600055596813,6.052680478202662,5.865516624914528,5.704218573863563,5.991702917327532,5.926548841822981,5.521275283388998,6.04099532138254,6.206412965172115,6.242569502491908,6.067677774181289,6.047021617404377,6.160320839882548,6.011886217745896,5.940912349153102,6.0987710540577655,6.201313261880676,6.046011435144284,6.072844484878868
Amino acids,Arginine and Proline metabolism,Citrulline,1,C6H13N3O3,175.0958,10.54,372-75-8,ANPPOS,C00327,HMDB00904,5.176136133833654,4.929781537917507,5.1041472590261865,5.130599411119326,5.1275181536484435,4.9099671841689485,5.0491125383438185,5.108333270537638,5.110523719457606,4.940693802244272,5.3087156966869955,4.985949871900526,4.906817670203294,4.887013030797468,4.925966753233265,5.079888569740797,5.131958205038171,5.0759635382588915,5.173901827284326,5.058266171635358,5.073379211723517,5.086557709958088,5.136293988324737,5.133352696629371
