gene,baseMean,log2FoldChange,lfcSE,stat,pval,adj_pval
A1BG,8.630474582,0.094739703,0.219726871,0.431170309,0.666344541,0.899682668
A1CF,7.779826631,0.367109432,0.236924373,1.549479387,0.121266523,0.506401523
A2M,14.11240772,-0.66336941,0.246515065,-2.690989333,0.007124047,0.155173722
A2ML1,9.961156149,-0.104225299,0.23249403,-0.448292366,0.653942209,0.89308431
A3GALT2,7.604419152,0.575701527,0.228059751,2.524345157,0.011591406,0.197198591
A4GALT,9.107014747,-0.319337856,0.225852498,-1.413922175,0.157384754,0.555531721
A4GNT,8.629923038,-0.196792973,0.251101343,-0.783719318,0.433204825,0.789121485
AAAS,12.9770544,-0.261150551,0.198479384,-1.31575656,0.188255764,0.589057743
AACS,14.29313434,-0.285104254,0.197932795,-1.44040938,0.149751611,0.54502998
AADAC,6.885568778,0.289561872,0.262243843,1.104170333,0.269519256,
AADACL2,8.881444024,0.334903271,0.22955919,1.458897249,0.14459339,0.537732148
AADACL3,10.71359812,0.201988576,0.208738615,0.96766272,0.333212842,0.722299301
AADACL4,10.89106371,-0.423303774,0.233296159,-1.814448108,0.069608765,0.409090436
AADAT,6.478974813,-0.301436756,0.255469596,-1.179932017,0.238027255,
AAGAB,8.967603328,0.225979801,0.252972825,0.893296746,0.37169828,0.74522732
AAK1,9.031285591,0.0734416,0.23142347,0.317347241,0.750980135,0.929499816
AAMDC,12.40432886,0.104072391,0.219180982,0.474824002,0.634912424,0.885283961
AAMP,12.03189076,-0.182950185,0.214259512,-0.853871942,0.393175947,0.763184588
AANAT,7.391228249,-0.444259235,0.255358799,-1.73974516,0.081903776,
AAR2,7.967591446,-0.177068223,0.231695438,-0.764228351,0.444731174,0.795164812
AARD,6.86249502,0.579523837,0.275862688,2.100769193,0.035661232,
AARS1,9.737930489,-0.003712995,0.213923129,-0.017356679,0.986152069,0.996231988
AARS2,9.320464008,-0.221977504,0.235490137,-0.942619113,0.34587576,0.731781243
AARSD1,12.45068598,0.080463745,0.1976446,0.407113297,0.683924777,0.90744443
AASDH,8.737529049,0.35852261,0.225310499,1.591237925,0.111556041,0.491420296
AASDHPPT,7.395558054,0.132498349,0.280003505,0.473202464,0.63606874,
AASS,9.206048751,-0.309449474,0.248626645,-1.244635201,0.213265875,0.617698387
AATF,10.21353048,0.043635156,0.210828944,0.206969476,0.836033697,0.956388322
AATK,4.928970813,-0.117315847,0.283524612,-0.41377659,0.67903773,
ABAT,9.432679724,-0.046648142,0.262769916,-0.17752467,0.859096289,0.964572681
ABCA1,8.368643281,-0.176533203,0.239301148,-0.737703116,0.460694878,0.801210651
ABCA10,9.505875153,-0.123011919,0.228302201,-0.538811797,0.590016723,0.868168115
ABCA12,10.29647799,-0.267092706,0.227584249,-1.173599263,0.240555576,0.644182223
ABCA13,8.790887719,0.089870468,0.215248646,0.41751932,0.676298596,0.903646048
ABCA2,6.292637152,-0.285496692,0.272750997,-1.04673015,0.295224054,
ABCA3,6.970808163,0.194427983,0.267523843,0.726768803,0.467367597,
ABCA4,9.532137603,-0.044838864,0.226286287,-0.198151042,0.84292689,0.958495965
ABCA5,8.351772229,-0.251752598,0.250539186,-1.004843205,0.314972356,0.707041852
ABCA6,8.945686382,-0.041297272,0.245094651,-0.168495198,0.866193721,0.96726059
ABCA7,9.525514798,-0.385703473,0.247939599,-1.555634818,0.119794954,0.504093506
ABCA8,8.612236839,0.002727545,0.228053155,0.011960128,0.990457426,0.997288885
ABCA9,7.014867651,0.125815887,0.272026116,0.462514,0.643712765,
ABCB1,9.846152973,0.135205966,0.220595055,0.612914764,0.5399327,0.843120145
ABCB10,22.80772256,0.112831562,0.184421945,0.611812014,0.54066214,0.843120145
ABCB11,7.114028166,0.057144108,0.25261357,0.226211555,0.821036884,
ABCB4,7.116023599,0.391102823,0.259427587,1.507560658,0.131667008,
ABCB5,9.048876442,0.533980751,0.217557728,2.454432467,0.014110717,0.211780578
ABCB6,10.78566931,-0.149893167,0.206894217,-0.724491817,0.468763849,0.805119269
ABCB7,7.788352034,0.397452111,0.233072911,1.705269433,0.088144186,0.448405896
ABCB8,6.642030316,-0.322165588,0.244558029,-1.317338014,0.187725348,
ABCB9,12.99725925,0.217350353,0.215387417,1.009113509,0.3129202,0.706074
ABCC1,9.727257626,-0.056249974,0.217152124,-0.259034879,0.795608329,0.944304638
ABCC10,7.728141243,0.253500315,0.248741901,1.019129925,0.308141289,0.701348681
ABCC11,7.863047237,0.573257509,0.234640328,2.443132913,0.014560374,0.214466758
ABCC12,8.316410295,0.004646127,0.245482337,0.018926522,0.984899722,0.996209337
ABCC2,7.401583424,0.263863372,0.24927449,1.058525371,0.28981599,
ABCC3,11.34147532,-0.029514198,0.210164251,-0.140433959,0.888317129,0.971129363
ABCC4,7.120270833,0.051042499,0.270006366,0.189041837,0.850060027,
ABCC5,8.432297681,-0.16967493,0.224403147,-0.756116537,0.449579328,0.796591388
ABCC6,11.8681828,-0.457587333,0.210846384,-2.170240366,0.029988642,0.291345227
ABCC8,11.0938832,-0.139960118,0.222986432,-0.627662036,0.53022536,0.837947376
ABCC9,9.340144834,0.273387093,0.196173514,1.393598388,0.163438916,0.563106414
ABCD1,10.08548469,-0.067592774,0.233636019,-0.289308021,0.772345675,0.935403264
ABCD2,9.465988459,0.39800404,0.222287091,1.790495516,0.073374287,0.416228441
ABCD3,7.695861212,-0.009131745,0.241075621,-0.037879171,0.96978402,0.991257626
ABCD4,10.18163214,0.081299177,0.206920042,0.392901415,0.694392296,0.910850811
ABCE1,9.925570121,0.049598811,0.200009397,0.247982403,0.804148022,0.947872922
ABCF1,10.6501941,-0.176172549,0.2230538,-0.789820881,0.429632383,0.786893808
ABCF2,11.40073329,-0.453413901,0.212208837,-2.136640052,0.032627279,0.29996863
ABCF3,9.876283311,0.286715982,0.20768559,1.380529014,0.167423823,0.565975797
ABCG1,8.604195877,0.031387192,0.257801814,0.121749306,0.903097563,0.975207404
ABCG2,6.577476096,0.296775912,0.271579108,1.092778875,0.274490899,
ABCG4,8.383684457,-0.164992262,0.239078339,-0.690117987,0.490119993,0.815627921
ABCG5,11.35324486,-0.051857945,0.204260809,-0.253881032,0.799587469,0.945529819
ABCG8,11.60996445,0.032786502,0.195738729,0.167501355,0.866975582,0.967597622
ABHD1,10.28935757,0.222023518,0.210881129,1.0528373,0.292415567,0.688209923
ABHD10,6.917575757,-0.131720469,0.246491556,-0.534381263,0.59307778,
ABHD11,7.63364449,0.275448826,0.256831734,1.072487508,0.283501122,0.682500577
ABHD12,8.535347033,0.07359123,0.218163433,0.337321563,0.735874506,0.925898043
ABHD12B,5.706820392,-0.371562967,0.270481793,-1.373707869,0.169532393,
ABHD13,7.265126179,-0.041818649,0.244009942,-0.171380921,0.863924256,
