metabolite_name,metabolite_id,annotation_confidence,Formula,Mass,RT,CAS ID,C001_June_Pre,C002_June_Pre,C003_June_Pre,C004_June_Pre,C001_Aug_Pre,C002_Aug_Pre,C003_Aug_Pre,C004_Aug_Pre,C001_Sept_Pre,C002_Sept_Pre,C003_Sept_Pre,C004_Sept_Pre,C001_Sept_Post,C002_Sept_Post,C003_Sept_Post,C004_Sept_Post,C001_Nov_Post,C002_Nov_Post,C003_Nov_Post,C004_Nov_Post,C001_Dec_Post,C002_Dec_Post,C003_Dec_Post,C004_Dec_Post
TG (44:0) [M+NH4]+,TG (44:0) [M+NH4]+,2.0,,767.7023,11.14,RPPOS,19458.2282206421,14192.7754129639,6884.13456970211,13150.8553149413,9168.54003552254,14205.6282960205,13580.6069194337,12304.3205848389,10171.1865900268,28325.6803284912,10152.3744177245,19872.3293458252,8027.41527380373,5357.21839343264,9041.57203967275,19782.5337576904,11261.1035146485,12892.4476296997,9643.71908410647,25484.1975612792,2411.8236613769,9090.05353515626,19043.1918289795,5759.60364257806
TG (44:1) [M+NH4]+,TG (44:1) [M+NH4]+,2.0,,765.6852,10.92,RPPOS,19377.8431920166,17373.1859449462,2667.31933703615,9468.11363952633,9068.31164355474,11445.6665531006,8526.81167749025,14287.3266577149,6054.0565070801,62081.869027466,4168.78042932126,22456.3619097901,6041.09849273688,1111.56592126468,9575.91763342283,19597.7591176758,2615.29411303711,20682.115640869,,31655.4359382933,1518.01662780766,5783.59876031497,20735.7583449707,2415.06024499513
TG (46:0) [M+NH4]+,TG (46:0) [M+NH4]+,2.0,,795.7325,11.35,RPPOS,47139.2430612183,36940.5316173096,28202.9444431152,34278.0000429687,30182.8003564452,35374.7519445801,35809.577633789,35927.463232483,27351.1533879395,41707.2267159423,36838.981300415,42756.8822525634,30988.0451433107,26535.9485710449,33207.096722412,39696.4557606811,31807.0537988281,31224.0409143067,28884.229423584,51029.7729000244,27334.9765124512,29488.7416168823,48956.8697683717,27954.6653884278
TG (46:1) [M+NH4]+,TG (46:1) [M+NH4]+,2.0,,793.7175,11.17,RPPOS,53455.7579620971,49754.328599121,20561.4615612793,25275.7149836425,29287.6126719361,42012.3688650514,48805.6117485962,40965.6697739258,23305.6792025146,117807.213884339,26820.9552667236,66186.7201383668,28818.7405285034,17124.2671812745,27436.1968043823,42455.2391627807,22741.2692927247,42281.669248291,22155.6354924316,97516.4553538815,20133.9428199462,21979.7814591063,62922.2364764403,27707.4549657592
TG (46:2) [M+Na]+,TG (46:2) [M+Na]+,2.0,,797.6606,10.95,RPPOS,15732.1694951172,19633.617576416,1276.33822229008,6376.55046972665,7772.91283959964,14740.2535181885,14404.6982497559,13189.4715606689,9397.20058923342,61346.9004351807,7936.14257873543,28343.4168609619,4994.70229321279,,8046.06129638676,15689.0547851563,1248.663074707,23563.4197630615,,32557.840494629,3215.83934875488,2416.42477148439,19746.0658980713,5651.8066560059
TG (46:2) [M+NH4]+,TG (46:2) [M+NH4]+,2.0,,791.7019,10.95,RPPOS,30026.0400394899,38309.2899592896,12839.4122174072,22339.5495292359,19902.8508834228,30284.850192505,30983.0314531249,32620.8444677735,16546.7877403564,114633.284707642,20601.8678063966,69531.4737600096,18068.6842984619,8996.02010412604,18926.9053432617,33177.8189224854,12361.2336245727,42963.2687097169,5954.92755236821,66391.213777466,14944.5234941407,9364.56045117192,43404.7583564454,13421.4816738281
TG (46:3) [M+NH4]+,TG (46:3) [M+NH4]+,2.0,,789.6864,10.71,RPPOS,11404.2069564209,14849.8743900758,1215.61818749997,10293.0329724732,6534.11087237546,13052.7615605468,11995.1928867798,15574.9886271972,11460.6478546753,66526.5873447265,11208.1328225098,24631.4804605713,1167.95358142093,,2634.59939141842,19073.8276190185,,30282.2935373534,,22593.4149900513,2986.56992797853,,14766.631163147,
TG (48:0) [M+Na]+,TG (48:0) [M+Na]+,2.0,,829.7246,11.54,RPPOS,7273.62184533694,5977.91670123296,4742.46042242434,4082.09620825201,4372.84302526848,6101.97784826659,5363.77940991201,4857.93479333496,2702.3211324463,3976.26122094733,4369.86802038573,6746.50877465819,7352.41164367676,3451.20447070317,4835.32695190438,5302.13450378422,5223.06520904541,6715.04477728268,5096.95110186768,8027.21445648194,5361.59394342048,5720.074678711,8484.51285827634,3944.47952380369
TG (48:0) [M+NH4]+,TG (48:0) [M+NH4]+,2.0,,823.7642,11.55,RPPOS,92387.8727161868,71373.5353427123,70347.0571921999,47320.0662848512,69133.6957073364,77436.8594503784,73401.8767391355,80286.2319044188,67694.9627620849,74054.0091908571,72914.0801632689,76249.2195467529,72122.2225786134,68742.6292702637,77048.9657315065,82198.575507202,46439.952486084,50430.7666599121,66958.6057061159,82608.7313635864,65983.2922893066,64424.1944071655,84749.5304091185,68487.7997449952
TG (48:1) [M+Na]+,TG (48:1) [M+Na]+,2.0,,827.7068,11.37,RPPOS,29970.7704719849,15864.261989624,9561.7275042724,9783.91848876949,14399.6866675415,21420.1779201661,30314.7261339721,21988.5512592774,10763.2250806884,25315.2560167235,14489.8158527222,19829.8632765503,15319.2131879883,7887.04808020017,16169.3396185911,14947.5715437012,6853.47668872075,16996.1690473633,10077.2759816895,29236.1960688476,12207.9430806274,11158.9453820801,35127.7619052735,14392.6901655274
