# Pathway,C001_L-44_DEL_Abundance-CPM,C001_R+1_DEL_Abundance-CPM,C002_L-44_DEL_Abundance-CPM,C002_R+1_DEL_Abundance-CPM,C003_L-44_DEL_Abundance-CPM,C003_R+1_DEL_Abundance-CPM,C004_L-44_DEL_Abundance-CPM,C004_R+1_DEL_Abundance-CPM
UNMAPPED,104601.0,185185.0,525379.0,570481.0,147540.0,140201.0,244947.0,342548.0
UNINTEGRATED,857097.0,778117.0,452089.0,396336.0,819130.0,824883.0,715281.0,623923.0
"12DICHLORETHDEG-PWY: 1,2-dichloroethane degradation",0.0,0.0,0.0,0.0,0.0,0.0,8.61217,0.0
1CMET2-PWY: folate transformations III (E. coli),22.9751,0.0,102.238,0.0,15.6024,27.9638,65.8867,75.4531
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast,1.39909,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANAEROFRUCAT-PWY: homolactic fermentation,122.13,111.41,56.0734,363.841,16.2533,44.3981,61.2536,75.594
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose),283.426,314.457,104.1,652.051,79.4486,374.034,293.478,278.797
ARGININE-SYN4-PWY: L-ornithine biosynthesis II,61.1373,136.368,100.906,0.0,18.3577,33.5974,61.0046,71.9986
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine),555.383,400.589,228.884,0.0,470.58,492.226,428.356,336.648
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle),568.653,414.048,243.144,0.0,514.359,535.953,442.417,378.282
ARO-PWY: chorismate biosynthesis I,273.968,370.654,163.317,0.0,328.283,245.039,386.444,288.787
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis,51.6469,46.2525,18.5978,0.0,0.0,23.2364,49.9761,46.5881
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I,6.22262,23.4296,53.5537,226.176,0.0,0.0,33.3808,0.0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis,188.146,248.356,179.897,411.688,105.172,156.204,339.173,276.393
CALVIN-PWY: Calvin-Benson-Bassham cycle,186.203,194.359,200.621,0.0,38.9815,53.6664,114.165,115.557
CATECHOL-ORTHO-CLEAVAGE-PWY: catechol degradation to &beta;-ketoadipate,1.98864,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"CHLOROPHYLL-SYN: 3,8-divinyl-chlorophyllide a biosynthesis I (aerobic, light-dependent)",0.0,0.0,0.0,0.0,0.0,0.0,21.525,0.0
CITRULBIO-PWY: L-citrulline biosynthesis,88.5073,189.23,144.7,0.0,27.2313,49.4009,133.148,100.053
COA-PWY-1: superpathway of coenzyme A biosynthesis III (mammals),410.236,357.772,152.189,0.0,440.811,443.065,346.585,298.897
COA-PWY: coenzyme A biosynthesis I (prokaryotic),503.148,380.441,138.49,0.0,463.96,474.747,398.072,304.866
COBALSYN-PWY: superpathway of adenosylcobalamin salvage from cobinamide I,0.0,0.0,49.1359,0.0,11.5448,0.0,19.8652,18.3227
COLANSYN-PWY: colanic acid building blocks biosynthesis,31.842,108.762,68.4825,0.0,20.7446,20.7807,80.7997,78.6873
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis,192.798,275.132,155.728,0.0,88.0658,141.106,281.127,247.04
DAPLYSINESYN-PWY: L-lysine biosynthesis I,221.22,285.934,125.22,0.0,347.959,324.731,347.858,268.971
DENITRIFICATION-PWY: nitrate reduction I (denitrification),0.0,0.0,0.0,0.0,0.0,4.05198,0.0,0.0
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis,14.1716,57.2456,21.8842,190.101,25.5549,22.2923,158.712,116.413
FASYN-ELONG-PWY: fatty acid elongation -- saturated,135.506,92.7036,87.5,243.576,100.697,30.2378,68.4662,139.724
FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli),0.0,0.0,0.0,0.0,0.0,0.0,19.1729,0.0
FERMENTATION-PWY: mixed acid fermentation,7.99701,33.3805,0.0,0.0,27.9721,16.6988,0.0,0.0
FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage,0.0,0.0,0.0,0.0,0.0,18.0701,44.7381,0.0
FUCCAT-PWY: fucose degradation,1.78998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation",9.20819,0.0,0.0,0.0,0.0,30.5297,12.8321,0.0
GLUCONEO-PWY: gluconeogenesis I,130.227,121.249,65.9725,345.385,16.4445,48.5868,56.344,66.1457
GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation,0.0,0.0,130.556,304.222,36.47,36.2871,121.105,0.0
GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronosides degradation,0.0,0.0,0.0,0.0,0.0,0.0,6.62459,0.0
GLUDEG-I-PWY: GABA shunt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.5897
GLUTORN-PWY: L-ornithine biosynthesis I,497.555,312.981,138.694,0.0,368.642,401.179,331.909,345.811
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose),115.377,172.0,122.794,209.423,67.5453,66.9409,185.078,165.309
GLYCOLYSIS-E-D: superpathway of glycolysis and the Entner-Doudoroff pathway,5.13331,0.0,0.0,286.646,0.0,11.4021,53.6362,23.1092
GLYCOLYSIS: glycolysis I (from glucose 6-phosphate),187.25,159.96,91.9497,437.176,26.0331,62.01,90.511,108.97
GLYOXYLATE-BYPASS: glyoxylate cycle,4.82728,17.2368,27.2044,0.0,14.8768,12.9329,22.4309,34.8913
"GOLPDLCAT-PWY: superpathway of glycerol degradation to 1,3-propanediol",1.58455,0.0,0.0,0.0,0.0,0.0,4.18413,0.0
HEME-BIOSYNTHESIS-II-1: heme b biosynthesis V (aerobic),0.0,0.0,0.0,0.0,13.9564,3.51757,26.2236,0.0
HEME-BIOSYNTHESIS-II: heme b biosynthesis I (aerobic),561.17,443.153,158.617,0.0,408.343,405.58,430.783,344.522
HEMESYN2-PWY: heme b biosynthesis II (oxygen-independent),8.1465,0.0,0.0,0.0,0.0,27.8237,13.3587,0.0
HISDEG-PWY: L-histidine degradation I,473.74,354.383,133.383,0.0,445.3,445.328,390.22,293.19
HISTSYN-PWY: L-histidine biosynthesis,658.342,489.452,241.286,0.0,622.986,623.288,470.388,434.8
HOMOSER-METSYN-PWY: L-methionine biosynthesis I,5.77815,0.0,0.0,0.0,9.67332,10.8404,15.6514,0.0
HSERMETANA-PWY: L-methionine biosynthesis III,35.03,110.45,72.5385,322.165,13.9322,32.1008,121.407,96.7361
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine),161.448,227.493,194.055,455.669,88.4713,134.798,325.469,260.443
KETOGLUCONMET-PWY: ketogluconate metabolism,0.0,0.0,0.0,0.0,0.0,0.0,40.0666,25.2649
LACTOSECAT-PWY: lactose and galactose degradation I,64.7929,60.6143,29.3383,0.0,8.84923,26.4624,19.962,11.7111
LIPASYN-PWY: phospholipases,2.75536,57.9191,35.6853,0.0,0.0,3.80657,24.4133,38.7691
MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis,10.308,0.0,0.0,0.0,15.2051,18.3662,27.8077,0.0
