pathway,pval,padj,log2err,ES,NES,size,timepoint,info,sample,celltype
HALLMARK_MITOTIC_SPINDLE,0.0001858839,0.001161774,0.5188481,-0.4137734,-1.603677,199,Immediately Post-flight,Hallmark,Skin,skin
HALLMARK_MYC_TARGETS_V1,5.816902e-25,2.908451e-23,1.2951231,-0.6875509,-2.672049,200,Immediately Post-flight,Hallmark,Skin,skin
HALLMARK_OXIDATIVE_PHOSPHORYLATION,1.565121e-14,3.912802e-13,0.9759947,-0.5995684,-2.32377,199,Immediately Post-flight,Hallmark,Skin,skin
ABE_INNER_EAR,0.0002183291,0.003121114,0.5188481,-0.6261186,-1.883738,43,Immediately Post-flight,C2,Skin,skin
ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_UP,1.07106e-12,1.141859e-10,0.9101197,-0.3887878,-1.716014,853,Immediately Post-flight,C2,Skin,skin
ANDERSEN_LIVER_CANCER_KRT19_UP,7.930989e-08,3.3936e-06,0.7049757,-0.7782673,-2.248599,34,Immediately Post-flight,C2,Skin,skin
BENPORATH_MYC_MAX_TARGETS,1.138184e-15,1.590928e-13,1.0175448,-0.4183604,-1.832148,761,Immediately Post-flight,C2,Skin,skin
BENPORATH_MYC_TARGETS_WITH_EBOX,7.523471e-10,4.894061e-08,0.8012156,-0.5184303,-2.037011,221,Immediately Post-flight,C2,Skin,skin
BENPORATH_SUZ12_TARGETS,0.00010132,0.001677112,0.5384341,0.3219994,1.345611,1001,Immediately Post-flight,C2,Skin,skin
BHATTACHARYA_EMBRYONIC_STEM_CELL,2.435457e-07,8.958493e-06,0.6749629,-0.6199512,-2.124571,81,Immediately Post-flight,C2,Skin,skin
BILANGES_RAPAMYCIN_SENSITIVE_VIA_TSC1_AND_TSC2,1.185825e-07,4.812155e-06,0.7049757,-0.6658932,-2.207458,68,Immediately Post-flight,C2,Skin,skin
BILANGES_SERUM_AND_RAPAMYCIN_SENSITIVE_GENES,1.685816e-18,3.313682e-16,1.1146645,-0.8366168,-2.759768,66,Immediately Post-flight,C2,Skin,skin
BILANGES_SERUM_RESPONSE_TRANSLATION,2.020653e-07,7.656571e-06,0.6901325,-0.7672433,-2.213591,33,Immediately Post-flight,C2,Skin,skin
BOUDOUKHA_BOUND_BY_IGF2BP2,3.567346e-08,1.625986e-06,0.7195128,-0.5926468,-2.094907,105,Immediately Post-flight,C2,Skin,skin
BRUINS_UVC_RESPONSE_LATE,0.004635225,0.03586988,0.4070179,-0.2605715,-1.163348,1110,Immediately Post-flight,C2,Skin,skin
CAIRO_HEPATOBLASTOMA_CLASSES_UP,1.704047e-16,2.614257e-14,1.0476265,-0.453282,-1.973075,604,Immediately Post-flight,C2,Skin,skin
CHAUHAN_RESPONSE_TO_METHOXYESTRADIOL_DN,1.179055e-11,1.07482e-09,0.8753251,-0.6766063,-2.364657,100,Immediately Post-flight,C2,Skin,skin
CHICAS_RB1_TARGETS_LOW_SERUM,3.50984e-06,9.768538e-05,0.6272567,-0.5683298,-1.956747,90,Immediately Post-flight,C2,Skin,skin
CHNG_MULTIPLE_MYELOMA_HYPERPLOID_UP,5.60949e-18,1.008106e-15,1.0959293,-0.8643468,-2.700259,52,Immediately Post-flight,C2,Skin,skin
CLASPER_LYMPHATIC_VESSELS_DURING_METASTASIS_DN,0.006396184,0.04558655,0.4070179,-0.5658086,-1.642328,35,Immediately Post-flight,C2,Skin,skin
DACOSTA_UV_RESPONSE_VIA_ERCC3_UP,2.160154e-07,8.087721e-06,0.6901325,-0.4235299,-1.73661,311,Immediately Post-flight,C2,Skin,skin
DANG_MYC_TARGETS_UP,4.242273e-09,2.382491e-07,0.7614608,-0.5816455,-2.11857,126,Immediately Post-flight,C2,Skin,skin
DAZARD_RESPONSE_TO_UV_NHEK_UP,5.779888e-14,6.732499e-12,0.9545416,-0.5653977,-2.20903,216,Immediately Post-flight,C2,Skin,skin
DAZARD_UV_RESPONSE_CLUSTER_G1,4.434429e-13,4.893431e-11,0.9325952,-0.7881649,-2.514987,59,Immediately Post-flight,C2,Skin,skin
ENK_UV_RESPONSE_KERATINOCYTE_UP,2.422818e-31,1.088537e-28,1.4533447,-0.5668413,-2.435604,527,Immediately Post-flight,C2,Skin,skin
FERNANDEZ_BOUND_BY_MYC,2.257345e-10,1.577633e-08,0.8266573,-0.5557788,-2.136511,179,Immediately Post-flight,C2,Skin,skin
FLORIO_NEOCORTEX_BASAL_RADIAL_GLIA_UP,1.495274e-06,4.656075e-05,0.6435518,0.4205161,1.639198,367,Immediately Post-flight,C2,Skin,skin
FLOTHO_PEDIATRIC_ALL_THERAPY_RESPONSE_UP,9.330952e-08,3.886867e-06,0.7049757,-0.7145864,-2.210249,50,Immediately Post-flight,C2,Skin,skin
GRAESSMANN_APOPTOSIS_BY_DOXORUBICIN_DN,3.704555e-07,1.323957e-05,0.6749629,-0.2880728,-1.307558,1736,Immediately Post-flight,C2,Skin,skin
GRUETZMANN_PANCREATIC_CANCER_DN,0.00224324,0.02076217,0.4317077,-0.3786052,-1.465166,195,Immediately Post-flight,C2,Skin,skin
GRYDER_PAX3FOXO1_ENHANCERS_IN_TADS,0.0002867322,0.003929293,0.4984931,-0.2860909,-1.27174,994,Immediately Post-flight,C2,Skin,skin
HILLION_HMGA1B_TARGETS,0.000105964,0.001735712,0.5384341,-0.5263617,-1.808396,85,Immediately Post-flight,C2,Skin,skin
HILLION_HMGA1_TARGETS,1.497753e-07,5.851468e-06,0.6901325,-0.6187341,-2.131157,84,Immediately Post-flight,C2,Skin,skin
HOLLEMAN_ASPARAGINASE_RESISTANCE_B_ALL_UP,8.253127e-09,4.436938e-07,0.7477397,-0.8489001,-2.322121,27,Immediately Post-flight,C2,Skin,skin
HSIAO_HOUSEKEEPING_GENES,1e-50,6.29e-47,,-0.7843142,-3.268613,380,Immediately Post-flight,C2,Skin,skin
IRITANI_MAD1_TARGETS_DN,3.821195e-05,0.000763518,0.5573322,-0.6585408,-1.981283,43,Immediately Post-flight,C2,Skin,skin
JISON_SICKLE_CELL_DISEASE_DN,9.450657e-15,1.165581e-12,0.9865463,-0.6140042,-2.350755,177,Immediately Post-flight,C2,Skin,skin
JOHNSTONE_PARVB_TARGETS_2_UP,1.012447e-07,4.189666e-06,0.7049757,-0.5487818,-2.016093,134,Immediately Post-flight,C2,Skin,skin
KEGG_OXIDATIVE_PHOSPHORYLATION,2.114332e-10,1.511267e-08,0.8266573,-0.6249241,-2.234231,115,Immediately Post-flight,C2,Skin,skin
KEGG_PARKINSONS_DISEASE,8.683191e-12,8.151832e-10,0.8753251,-0.6578518,-2.347647,112,Immediately Post-flight,C2,Skin,skin
KEGG_RIBOSOME,6.384713e-30,2.231103e-27,1.4172759,-0.8680775,-3.001246,86,Immediately Post-flight,C2,Skin,skin
KIM_ALL_DISORDERS_DURATION_CORR_DN,2.695099e-11,2.230549e-09,0.8634154,-0.6014531,-2.220494,144,Immediately Post-flight,C2,Skin,skin
KIM_ALL_DISORDERS_OLIGODENDROCYTE_NUMBER_CORR_UP,2.835917e-36,8.918958e-33,1.5697917,-0.5379736,-2.350669,740,Immediately Post-flight,C2,Skin,skin
KIM_BIPOLAR_DISORDER_OLIGODENDROCYTE_DENSITY_CORR_UP,1.089397e-34,1.370461e-31,1.5297053,-0.546712,-2.37882,666,Immediately Post-flight,C2,Skin,skin
LEE_LIVER_CANCER_MYC_UP,1.787697e-05,0.0004001641,0.5756103,-0.6340513,-1.980805,52,Immediately Post-flight,C2,Skin,skin
LEE_LIVER_CANCER_SURVIVAL_DN,1.354657e-09,8.436428e-08,0.7881868,-0.5452989,-2.083751,176,Immediately Post-flight,C2,Skin,skin
LIM_MAMMARY_STEM_CELL_UP,0.0003830394,0.004977929,0.4984931,-0.3259196,-1.383525,475,Immediately Post-flight,C2,Skin,skin
LI_AMPLIFIED_IN_LUNG_CANCER,9.281542e-18,1.621692e-15,1.0864405,-0.6569953,-2.525605,179,Immediately Post-flight,C2,Skin,skin
LOPEZ_MBD_TARGETS,1.678818e-31,8.799804e-29,1.4604515,-0.4829515,-2.148811,930,Immediately Post-flight,C2,Skin,skin
LUI_TARGETS_OF_PAX8_PPARG_FUSION,3.220465e-10,2.201818e-08,0.8140358,-0.8363275,-2.416349,34,Immediately Post-flight,C2,Skin,skin
LUI_THYROID_CANCER_CLUSTER_3,1.032713e-08,5.458628e-07,0.7477397,-0.8408736,-2.312837,28,Immediately Post-flight,C2,Skin,skin
LUI_THYROID_CANCER_PAX8_PPARG_DN,6.745478e-10,4.466217e-08,0.8012156,-0.7844333,-2.386011,46,Immediately Post-flight,C2,Skin,skin
MALONEY_RESPONSE_TO_17AAG_DN,2.154958e-12,2.142366e-10,0.8986712,-0.7264729,-2.448376,77,Immediately Post-flight,C2,Skin,skin
MARTENS_TRETINOIN_RESPONSE_DN,1.585724e-27,4.336612e-25,1.3651796,-0.4907528,-2.144157,776,Immediately Post-flight,C2,Skin,skin
MARTINEZ_RB1_AND_TP53_TARGETS_DN,2.763673e-06,8.01083e-05,0.6272567,-0.3466112,-1.502433,596,Immediately Post-flight,C2,Skin,skin
MARTINEZ_RB1_TARGETS_DN,4.10696e-06,0.0001118302,0.6105269,-0.3513804,-1.5098,555,Immediately Post-flight,C2,Skin,skin
MARTINEZ_TP53_TARGETS_DN,9.318829e-07,3.021414e-05,0.6594444,-0.3567188,-1.551083,600,Immediately Post-flight,C2,Skin,skin
MATTIOLI_MGUS_VS_PCL,3.318897e-06,9.361374e-05,0.6272567,-0.5730946,-2.004177,94,Immediately Post-flight,C2,Skin,skin
MIKKELSEN_IPS_WITH_HCP_H3K27ME3,0.005348148,0.03999982,0.4070179,0.4505374,1.507958,96,Immediately Post-flight,C2,Skin,skin
