pathway,pval,padj,log2err,ES,NES,size,celltype,sample,info
HALLMARK_MITOTIC_SPINDLE,1.715192e-06,1.164011e-05,0.6435518,0.5683205,1.853034,199,GeneLab Mice,GeneLab Mice,Hallmark
HALLMARK_MYC_TARGETS_V1,2.112487e-14,1.056244e-12,0.9759947,-0.6423905,-2.335481,201,GeneLab Mice,GeneLab Mice,Hallmark
HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.001890613,0.006302044,0.4550599,-0.4013404,-1.459414,199,GeneLab Mice,GeneLab Mice,Hallmark
HALLMARK_UV_RESPONSE_DN,0.01328294,0.03495511,0.3807304,0.4585092,1.449371,144,GeneLab Mice,GeneLab Mice,Hallmark
ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_UP,2.471385e-19,5.757413e-17,1.1330899,-0.458329,-1.882949,867,GeneLab Mice,GeneLab Mice,C2
ACEVEDO_METHYLATED_IN_LIVER_CANCER_DN,0.0001420013,0.002205402,0.5188481,0.4083548,1.430986,624,GeneLab Mice,GeneLab Mice,C2
ANDERSEN_LIVER_CANCER_KRT19_UP,1.639003e-06,5.369444e-05,0.6435518,-0.7921593,-2.216688,35,GeneLab Mice,GeneLab Mice,C2
BENPORATH_MYC_MAX_TARGETS,2.650259e-24,1.667013e-21,1.279034,-0.5024358,-2.051271,779,GeneLab Mice,GeneLab Mice,C2
BENPORATH_MYC_TARGETS_WITH_EBOX,0.0005375807,0.006135212,0.4772708,-0.4117173,-1.527866,227,GeneLab Mice,GeneLab Mice,C2
BENPORATH_SUZ12_TARGETS,9.934945e-16,1.56227e-13,1.0175448,0.5071826,1.800912,860,GeneLab Mice,GeneLab Mice,C2
BHATI_G2M_ARREST_BY_2METHOXYESTRADIOL_DN,0.006152704,0.03637266,0.4070179,-0.4357353,-1.500953,113,GeneLab Mice,GeneLab Mice,C2
BHATTACHARYA_EMBRYONIC_STEM_CELL,0.008079351,0.04377185,0.3807304,-0.4637517,-1.513678,78,GeneLab Mice,GeneLab Mice,C2
BILANGES_RAPAMYCIN_SENSITIVE_VIA_TSC1_AND_TSC2,4.174714e-06,0.0001148429,0.6105269,-0.6754341,-2.17051,69,GeneLab Mice,GeneLab Mice,C2
BILANGES_SERUM_AND_RAPAMYCIN_SENSITIVE_GENES,5.735389e-11,5.228348e-09,0.8513391,-0.7800746,-2.506772,69,GeneLab Mice,GeneLab Mice,C2
BILANGES_SERUM_RESPONSE_TRANSLATION,0.001245799,0.01125616,0.4550599,-0.6595003,-1.804594,32,GeneLab Mice,GeneLab Mice,C2
BLANCO_MELO_BETA_INTERFERON_TREATED_BRONCHIAL_EPITHELIAL_CELLS_UP,2.104926e-06,6.619992e-05,0.6272567,0.5058392,1.71129,334,GeneLab Mice,GeneLab Mice,C2
BOUDOUKHA_BOUND_BY_IGF2BP2,0.0006402237,0.007051195,0.4772708,-0.502173,-1.717648,104,GeneLab Mice,GeneLab Mice,C2
BRUINS_UVC_RESPONSE_VIA_TP53_GROUP_A,0.000165258,0.002504753,0.5188481,0.3932881,1.392142,799,GeneLab Mice,GeneLab Mice,C2
CAIRO_HEPATOBLASTOMA_CLASSES_UP,1.766182e-20,5.290135e-18,1.16907,-0.5201579,-2.096772,603,GeneLab Mice,GeneLab Mice,C2
CHARAFE_BREAST_CANCER_LUMINAL_VS_MESENCHYMAL_DN,4.472419e-10,3.473027e-08,0.8140358,0.5258559,1.81978,449,GeneLab Mice,GeneLab Mice,C2
CHEN_METABOLIC_SYNDROM_NETWORK,0.0003184087,0.004129466,0.4984931,0.3639583,1.309128,1227,GeneLab Mice,GeneLab Mice,C2
