gene,MT,MUC,"Platelet activation, signaling and aggregation",Chemical carcinogenesis - reactive oxygen species,cell junction organization,ameboidal-type cell migration,behavior,inorganic ion transmembrane transport,regulation of cell junction assembly,cell morphogenesis,regulation of synapse organization,placenta,skeletal muscle,Cerebellum,bone marrow,prostate cancer
AACS,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AC116050.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC135983.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADORA1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
AGAP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGRN,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
AKT1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
AKT2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
AL133373.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL133481.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALAS2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
ALDH1L1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ALDH3B1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ALPK3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AMD1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AMER2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANKRD28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANKRD30BL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANKS6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANO6,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
APBB2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
APLF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APP,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0
AQP6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ARHGAP10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARHGAP18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARHGAP23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARHGAP4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMC5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMC8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASAP2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASB1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASGR2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASIC2,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
ASPH,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
ASPSCR1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATP6V1E1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
ATP8A1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
B2M,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
B3GAT1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BAGE2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BCAR1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
BCAT2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEGAIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEND2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BPGM,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
BRPF3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BSN,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
BTNL9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C19orf47,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
C1QL3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
C2orf88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C6orf132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CACNA1A,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
CACNG8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CALHM2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CAMK2B,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
CAMKK1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAPN10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCDC175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCDC177_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCDC78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCER1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
