gene,baseMean,log2FoldChange,lfcSE,stat,pval,adj_pval
DES,38.01827703,-1.692186077,0.355865236,-4.755131729,1.98e-06,0.003447543
TAGLN,44.88780656,-1.548785896,0.288774578,-5.363304161,8.17e-08,0.000314964
GSN,26.08501893,-1.421852135,0.332503981,-4.276195825,1.9e-05,0.008621111
ACTG2,41.47667833,-1.342797754,0.319153963,-4.207366691,2.58e-05,0.009930787
MYLK,58.3744116,-1.298183761,0.341807788,-3.797993516,0.000145872,0.023068799
ACTA2,64.28518891,-1.293642965,0.324880601,-3.981902767,6.84e-05,0.015500928
TLN1,13.89729655,-1.289257075,0.240021272,-5.371428382,7.81e-08,0.000314964
IGF2R,15.07619665,-1.278541765,0.287953611,-4.440096304,8.99e-06,0.007459243
CNN1,41.05536804,-1.262807503,0.290615222,-4.345290289,1.39e-05,0.00845276
MYH11,47.60414655,-1.246191405,0.308300188,-4.042136374,5.3e-05,0.013610602
LIMD1,17.58869535,-1.243488902,0.321940345,-3.862482355,0.000112241,0.02086643
FLNC,10.31282768,-1.237467571,0.26762826,-4.623829975,3.77e-06,0.004840207
FLNA,49.90293604,-1.196874282,0.31466404,-3.803657646,0.000142575,0.023068799
VIM,46.83196243,-1.196752824,0.321687214,-3.720237465,0.000199036,0.025522961
LMNA,21.12329681,-1.19439837,0.298499854,-4.001336526,6.3e-05,0.01517365
CRKL,34.58985332,-1.174519069,0.264722261,-4.436797516,9.13e-06,0.007459243
TPM2,52.73096758,-1.165377819,0.2690405,-4.331607391,1.48e-05,0.00845276
PPP1R12C,11.7268206,-1.162366845,0.270310693,-4.300114181,1.71e-05,0.008613281
TPM1,47.11775327,-1.134959373,0.286580512,-3.960350844,7.48e-05,0.01580656
DCN,13.33752708,-1.129457943,0.319052056,-3.540042836,0.000400062,0.036775998
KANK2,9.383765265,-1.125429224,0.303545426,-3.707613849,0.000209221,0.0258062
P2RX1,11.24957096,-1.123693253,0.201532922,-5.57573047,2.46e-08,0.000314964
COL6A2,24.61168788,-1.115022524,0.346105755,-3.221623759,0.001274664,0.067993219
CSRP1,79.24966132,-1.105653439,0.331381279,-3.336499399,0.000848406,0.054503023
MPC1L,8.844032326,-1.100860355,0.408446882,-2.695235056,0.007033899,0.154322704
BSPRY,6.750428654,-1.095113823,0.306126869,-3.57732017,0.000347135,
NCS1,9.863905267,-1.090398786,0.223109762,-4.887275112,1.02e-06,0.002251935
ACTC1,14.59983944,-1.084293771,0.286431771,-3.785521997,0.000153386,0.023068799
SKP1,29.35622812,-1.081225152,0.300753512,-3.595054115,0.000324324,0.033426137
RPL39L,5.999076494,-1.078073714,0.305388666,-3.530169366,0.000415294,
ACTN1,11.76825178,-1.077003392,0.305637641,-3.523791737,0.000425418,0.037913886
NDUFAF3,10.60505803,-1.075711735,0.336654292,-3.195300814,0.001396852,0.069985491
DNAAF5,8.4150019,-1.07276953,0.267079477,-4.016667789,5.9e-05,0.014445648
CKB,24.27563377,-1.070307865,0.268452617,-3.986952619,6.69e-05,0.015500928
MYL6,34.61477338,-1.069841067,0.249082129,-4.295133786,1.75e-05,0.008613281
C11orf96,10.51907573,-1.067523033,0.272019874,-3.924430284,8.69e-05,0.017184197
MXRA7,13.87554329,-1.064586349,0.314956046,-3.380110854,0.000724566,0.050549133
NBAS,6.94355086,-1.061475453,0.260420876,-4.075999853,4.58e-05,
GAS6,14.79831276,-1.06043554,0.216680404,-4.894007576,9.88e-07,0.002251935
ILK,6.60410846,-1.048295441,0.259437284,-4.040650685,5.33e-05,
CLIC4,14.04520076,-1.046070827,0.213438573,-4.901039257,9.53e-07,0.002251935
PTMS,40.66911825,-1.044398025,0.242918582,-4.299374783,1.71e-05,0.008613281
CST3,14.57233369,-1.040354554,0.349873908,-2.973512826,0.002944121,0.100211274
SELENOM,10.97315011,-1.037841672,0.236757206,-4.383569514,1.17e-05,0.00845276
RPL8,35.86877302,-1.036588066,0.268844169,-3.855720842,0.000115389,0.02086643
GYPC,29.19873203,-1.0215985,0.282270885,-3.619213161,0.0002955,0.031639038
TPM4,28.7479344,-1.016933818,0.256222799,-3.968943527,7.22e-05,0.015776949
ACTA1,12.30521775,-1.016664673,0.297402718,-3.418478081,0.000629724,0.046278785
HOXD10,7.863565068,-1.014474073,0.381608293,-2.658417256,0.007850863,0.162913324
RNPEP,33.40558127,-1.011777265,0.439068431,-2.30437261,0.021201736,0.255924944
PSMC2,8.938993304,-1.008562534,0.260716548,-3.868425463,0.00010954,0.020850544
PDLIM7,26.48296046,-0.999433913,0.250981652,-3.982099511,6.83e-05,0.015500928
EPS8L3,8.650932376,-0.99523253,0.315832112,-3.151144201,0.001626322,0.074033003
TIMP3,8.546607133,-0.992760942,0.262367111,-3.783862007,0.000154413,0.023068799
MYL9,59.91217196,-0.991853542,0.329654935,-3.00876291,0.002623137,0.094695856
ADAMTS5,7.163973148,-0.988130769,0.348789228,-2.833031212,0.004610888,
UTY,7.019803588,-0.987645495,0.28084803,-3.516654524,0.000437022,
RASL12,12.42609212,-0.987632485,0.236875573,-4.169414649,3.05e-05,0.010949754
SEPTIN9,12.9667639,-0.981354462,0.232502187,-4.220839699,2.43e-05,0.00987539
P2RY4,10.89910366,-0.979963509,0.2561301,-3.82603805,0.000130222,0.022815516
MYH9,42.99038756,-0.97933008,0.267230563,-3.664738309,0.000247592,0.028487817
CD81,18.61024662,-0.977813864,0.25270226,-3.869430625,0.00010909,0.020850544
HEXIM1,10.40421549,-0.977640796,0.238338578,-4.101899085,4.1e-05,0.012512184
SNX17,8.491891888,-0.977440184,0.258241738,-3.78498144,0.00015372,0.023068799
HLA-B,74.35881399,-0.975333936,0.325965156,-2.992141704,0.002770276,0.097073004
COL6A3,8.725086144,-0.974873749,0.229894555,-4.240525619,2.23e-05,0.009550465
WDR1,10.18527823,-0.974568536,0.208201525,-4.680890476,2.86e-06,0.004403867
ZYX,14.77955555,-0.973034836,0.228375968,-4.26067088,2.04e-05,0.008978306
TLE5,24.61936163,-0.972482796,0.270665745,-3.592928975,0.000326982,0.033426137
ZNF444,24.15501638,-0.969691987,0.279021556,-3.475330014,0.000510225,0.042522447
C4orf3,16.45611242,-0.965362111,0.254457572,-3.793803829,0.000148357,0.023068799
TRIM56,13.13242513,-0.963051308,0.217673664,-4.424289507,9.68e-06,0.007459243
SLAIN2,10.0123002,-0.951690413,0.235014944,-4.049488924,5.13e-05,0.013413557
TNS1,11.83396117,-0.950561453,0.26957102,-3.526200453,0.000421568,0.037913886
LDB3,22.36435679,-0.948240077,0.25525618,-3.714856491,0.000203319,0.025522961
ATOH8,7.660025921,-0.947326575,0.267425518,-3.542394091,0.000396513,0.036775998
B4GALNT4,9.721038009,-0.943114446,0.235979588,-3.996593323,6.43e-05,0.015242604
HCFC2,9.735125121,-0.939023806,0.251118792,-3.739360949,0.000184489,0.025522961
