metabolite,logFC,AveExpr,t,pval,adj_pval,B,contrast,comparison
LysoPC(15:0),-2.34156092256856,2.71137279295175e-15,-6.72136232911548,5.61497027096525e-08,3.6834204977532e-05,8.30602033591597,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
LysoPC(14:0),-2.10805669567388,2.22565021967824e-15,-5.93879394266291,6.68183491118735e-07,0.000217280661662751,5.94399522144555,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
LysoPC(17:0),-2.04656423017228,1.49215130991938e-15,-5.81374770285358,9.93661562482093e-07,0.000217280661662751,5.56544505993888,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
Inosine,2.16016237644412,-0.14761509080378,5.68577318269612,1.49130127221922e-06,0.000244573408643952,5.17820600622656,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
Sphingosine 1-phosphate,-1.90702272598213,1.63786808190144e-15,-5.33979329146115,4.46021748984037e-06,0.000585180534667056,4.13389565416123,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
LysoPC(16:1),-1.88412608362027,-1.13450915328883e-15,-5.2239147610903,6.42968208973234e-06,0.000702978575144069,3.7855644809766,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
PC(P38:3),1.80644278540504,3.46727854760864e-15,5.06131916733335,1.0724997855831e-05,0.00091134120509881,3.29859256006327,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
FA (26:0) [M-H]-,1.90200586344407,2.86402845883771e-15,5.04997487821911,1.11139171353513e-05,0.00091134120509881,3.26470698056124,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
LysoPC(18:0),-1.70887331193255,-2.24126273096203e-15,-4.91629173193793,1.68961424546712e-05,0.00123154105002937,2.86641652920368,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
LysoPC(16:0),-1.84115577362452,-2.24400937646566e-15,-4.76881653149993,2.67642469679835e-05,0.00175573460109972,2.42950947737942,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
PC (38:3) [M+H]+,-1.60007029540714,4.19405540389809e-16,-4.70481390080702,3.26518556842635e-05,0.0019472379389888,2.24081855081121,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
SM (d36:1) [M+H]+,1.66222879844102,9.85684335078988e-16,4.66787830101168,3.66132286209562e-05,0.00200152316461227,2.13220333485937,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
SM (d36:0) [M+H]+,1.60634924779098,2.97158131434827e-15,4.63138852190585,4.09911255842005e-05,0.00206847526024888,2.02510802015463,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
LysoPC(18:3),-1.63643262187465,2.54426109809932e-16,-4.55101913636803,5.25338434956275e-05,0.00230979185033796,1.78999914366768,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
