gene,edge_test_input_vs_ip_cd36_tagwise_dispersions_pval,edge_test_input_vs_ip_cd36_tagwise_dispersions_fc,edge_test_input_vs_ip_cd36_tagwise_dispersions_diff,edge_test_input_vs_ip_cd36_tagwise_dispersions_fdr_pval_correction,input_transformed_means,input_normalized_means,ip_cd36_transformed_means,ip_cd36_normalized_means
5S_rRNA_4,0.58054164206092,7.57725902607606,1.72299783169064e-06,1.0,0.0,0.0,0.512017633413403,0.633333333333333
7SK_6,0.513029818514056,8.28462801041614,1.90830226038824e-06,1.0,0.0,0.0,0.617332945704149,0.6
A1BG,1.0,4.65630438188589,9.57816089804935e-07,1.0,0.0,0.0,0.308666472852074,0.3
A1BG-AS1,0.999999999999985,4.82448561639818,1.00187333329297e-06,1.0,0.0,0.0,0.308666472852074,0.3
A2M,0.108953184811839,-1.97644904528366,-1.82404343796715e-05,0.634758603854418,4.16234536001063,20.4,2.88305544771626,6.63333333333333
A2M-AS1,0.223256754989026,-1.86704180656705,-6.05159301301378e-06,0.843168470572738,3.00196840062099,7.43333333333333,1.51942254468525,2.66666666666667
A2ML1,0.06353795302751,15.622017100583,3.83042596610011e-06,0.497576028986022,0.0,0.0,1.22122872665536,1.36666666666667
A2MP1,0.306347170381266,-4.15743316835282,-3.9472834681083e-06,0.913335304893912,1.44661666762821,2.73333333333333,0.400544620389884,0.433333333333333
A3GALT2,0.125262357615799,11.9721849962069,2.87430537286466e-06,0.667866267694462,0.0,0.0,1.01787756609403,1.03333333333333
A4GALT,0.00254284788234343,33.7985226516605,8.59199602561221e-06,0.0832424879964623,0.0,0.0,1.85726604723662,2.8
A4GNT,0.999999999999921,-3.32632566543058,-6.09411011707484e-07,1.0,0.421011468611265,0.466666666666667,0.0,0.0
AAAS,0.496775734928722,-1.43314831136643,-5.8109609851851e-06,1.0,3.34066903139217,9.63333333333333,2.37853898355567,4.76666666666667
AACS,0.115939574342437,1.81969897338276,1.32875355042887e-05,0.654709028478963,3.24674537525371,8.73333333333333,3.46651214068172,10.6
AACSP1,0.580491230231389,7.57753790135373,1.72307088666641e-06,1.0,0.0,0.0,0.512017633413403,0.633333333333333
AADACL3,0.0719780829300815,15.7429150511883,3.86209674353535e-06,0.516543170148502,0.0,0.0,1.18686422900066,1.3
AADACL4,0.999999999999983,4.82464453939987,1.00191496522297e-06,1.0,0.0,0.0,0.308666472852074,0.3
AADAT,0.278791950384121,8.51255371753995,1.96801033902768e-06,0.881810463941364,0.0,0.0,0.709211093241958,0.733333333333333
AAED1,0.350141059618429,2.62194306004609,3.06561189212888e-06,0.979392696319129,0.800179309861243,0.866666666666667,1.11965294194411,1.5
AAGAB,0.999999999999455,-1.05545036236955,-7.20355599949199e-07,1.0,2.95697316520353,7.13333333333333,2.39684528318508,4.4
AAK1,1.0,-1.00347906607918,-5.73705908006686e-07,1.0,6.41342360453631,88.9666666666667,5.80346715163267,60.6333333333333
AAMDC,0.445095604044729,3.96044080766726,2.45392861011351e-06,1.0,0.356796442630466,0.366666666666667,0.878197756148585,1.0
AAMP,0.99999999999997,1.01862681415822,6.58046243737836e-07,1.0,4.30589387382325,19.3,3.62013136364036,12.7666666666667
AANAT,0.999999999999963,1.96032050103152,1.38506285812687e-06,1.0,0.559357301704213,0.733333333333333,0.641999806185408,0.933333333333333
AAR2,1.0,1.01372241510412,6.86637631339589e-08,1.0,1.70367710412958,2.36666666666667,1.27627821648935,1.93333333333333
AARD,0.999999999999964,4.87294006034379,1.01456659982285e-06,1.0,0.0,0.0,0.400544620389884,0.433333333333333
AARS,0.52634723250381,-1.29947665603541,-6.32395280145423e-06,1.0,3.88386420013504,14.2666666666667,2.77390088539145,7.66666666666667
AARS2,0.699514614346738,-1.83505851288635,-2.64655629007926e-06,1.0,1.02915428041678,2.5,0.786319608610776,0.866666666666667
AARSD1,0.241990461632753,-3.3986145096568,-2.9037676177068e-06,0.876455146222403,1.60011015764155,2.13333333333333,0.308666472852074,0.3
AASDH,0.221153508460196,-3.11975172062868,-4.70520130983096e-06,0.837194728422252,1.99987976038268,3.3,0.477653135758702,0.566666666666667
AASDHPPT,1.0,-1.12176890271941,-2.71146235451257e-07,1.0,1.00834293149717,1.3,0.709211093241958,0.733333333333333
AASS,0.0142788575734941,5.83976337701004,6.57924522159889e-06,0.243983249360435,0.582820411001345,0.566666666666667,1.87399774388871,2.66666666666667
AATF,0.46805065485907,-1.23555491937771,-1.63066872229683e-05,1.0,5.57438476372862,46.7666666666667,4.56028762080641,24.9666666666667
AATK,6.08120193372546e-09,11.5119277497116,0.000128401820562954,3.03722252134399e-06,2.70652814450456,7.5,5.60989876373822,49.9
AATK-AS1,0.513747497317725,8.29454186576703,1.91089932266078e-06,1.0,0.0,0.0,0.709211093241958,0.733333333333333
AB015752.3,0.999999999999978,-3.32696557983445,-6.09578645538835e-07,1.0,0.421011468611265,0.466666666666667,0.0,0.0
ABAT,0.292860190174514,1.56788930324006,7.09747705635235e-06,0.894176439909278,2.95790902892472,6.9,2.95848073299082,6.93333333333333
ABC7-42389800N19.1,0.910609828262351,-1.15314661673786,-2.27748043305924e-06,1.0,3.26759430263005,9.23333333333333,2.47644938457458,5.56666666666667
ABCA1,0.713101485416687,-1.23268805365911,-1.83547874119859e-06,1.0,2.59713244938488,5.36666666666667,1.83787235687378,2.66666666666667
ABCA10,0.605348707117374,1.46105465490979,1.90551953302145e-06,1.0,1.66618552771011,2.2,1.58494468934143,2.23333333333333
ABCA11P,0.573073156323062,-6.28428126589002,-1.38428563130557e-06,1.0,0.477653135758702,0.566666666666667,0.0,0.0
ABCA13,0.0066536672623826,6.5135987067341,1.06802536623742e-05,0.154325254615118,1.00383187961261,1.03333333333333,2.18545603371342,4.03333333333333
ABCA17P,0.203251276151479,17.4463039962035,4.30832144704043e-06,0.799948781466709,0.0,0.0,0.877422738499838,1.73333333333333
ABCA2,0.816317829880023,1.09903194455002,9.61103733840345e-06,1.0,5.40693222829066,51.9666666666667,5.20096146957281,38.7333333333333
ABCA3,0.117316957911115,1.83407877937001,1.07287202497259e-05,0.660244893624487,2.81897644163369,6.33333333333333,3.15697575249171,7.93333333333333
ABCA4,0.0044383018917308,30.8428836045352,7.81772825703758e-06,0.118850935047089,0.0,0.0,1.86709350767194,2.93333333333333
ABCA5,0.283637912197178,1.46298780968937,1.42121535865971e-05,0.881864964312474,4.09489269620953,16.3666666666667,3.98821109211379,16.1333333333333
ABCA6,0.141868134064994,4.44503947329876,4.7529963830165e-06,0.700557711470994,0.647035436982144,0.666666666666667,1.38944037191324,2.36666666666667
ABCA7,0.856460165364231,1.0518246567645,8.75476671482938e-06,1.0,6.52459047543211,92.6666666666667,5.96090871570665,63.1333333333333
ABCA8,0.513059545397412,8.28456669560343,1.90828619818225e-06,1.0,0.0,0.0,0.617332945704149,0.6
ABCA9,1.0,1.49802222578675,4.1711177915265e-07,1.0,0.356796442630466,0.366666666666667,0.308666472852074,0.3
