metabolite_name,metabolite_id,annotation_confidence,Formula,Mass,RT,CAS ID,C001_June_Pre,C002_June_Pre,C003_June_Pre,C004_June_Pre,C001_Aug_Pre,C002_Aug_Pre,C003_Aug_Pre,C004_Aug_Pre,C001_Sept_Pre,C002_Sept_Pre,C003_Sept_Pre,C004_Sept_Pre,C001_Sept_Post,C002_Sept_Post,C003_Sept_Post,C004_Sept_Post,C001_Nov_Post,C002_Nov_Post,C003_Nov_Post,C004_Nov_Post,C001_Dec_Post,C002_Dec_Post,C003_Dec_Post,C004_Dec_Post
TG (44:0) [M+NH4]+,,2.0,,767.7023,11.14,RPPOS,4.289103292816729,4.152067330529646,3.8378493512412053,4.118953999706342,3.962300185724993,4.152460446750287,4.1329191790660715,4.090057637998052,4.0073716215009245,4.452180349580849,4.006567626083612,4.29824877615597,3.9045757304560804,3.72893935126914,3.9562439469354844,4.296281915497293,4.051580950625458,4.110335375938467,3.984244551145553,4.406270963206457,3.3823455515234455,3.958566440972736,4.2797397422384,3.7603925977002968
TG (44:1) [M+NH4]+,,2.0,,765.6852,10.92,RPPOS,4.2873054372177455,4.239879467925178,3.4260750134440676,3.976263461838692,3.9575264367688234,4.058641089444305,3.93078667129455,4.154950974318154,3.782046470237757,4.7929647832516835,3.620009021332727,4.351339398831862,3.781115916428595,3.0459352235735135,3.9811804018611987,4.2922064153123065,3.417520536219172,4.315594962089188,,4.500448298722806,3.1812765286909257,3.762198155962557,4.316719922941594,3.382927968935401
TG (46:0) [M+NH4]+,,2.0,,795.7325,11.35,RPPOS,4.6733826045570925,4.567503141153024,4.450294451888247,4.5350154749885965,4.479759531096671,4.548693403176085,4.553999198632776,4.555426553607985,4.436975645091968,4.620211312789835,4.566307612248877,4.6310060297950955,4.491194179974319,4.42383461681211,4.521230907138488,4.5987517331537635,4.502523443449744,4.494489107349736,4.460660785879532,4.707823635577269,4.436718705060676,4.469656240150827,4.689813641862531,4.446454298210535
TG (46:1) [M+NH4]+,,2.0,,793.7175,11.17,RPPOS,4.727994491892462,4.696830870105577,4.313053982183076,4.402703449487915,4.46668397237603,4.623377169898279,4.688469760759473,4.612420059811604,4.367461764192265,5.071171885139003,4.428474241810832,4.82077086029803,4.459674996829347,4.233611995292145,4.438323909463848,4.627931291731591,4.356814700960431,4.626152124591192,4.345484211460755,4.989077906635884,4.303928830888207,4.3420233699993895,4.798804150571008,4.442596636028056
TG (46:2) [M+Na]+,,2.0,,797.6606,10.95,RPPOS,4.196788616761201,4.293000327553453,3.1059657751768923,3.804585801431578,3.890583797836306,4.1685049530348035,4.158504165092064,4.120227395782687,3.9729984972466905,4.78779262479891,3.8996094616413086,4.452452204218162,3.6985096074232544,,3.90558333678373,4.195596779536186,3.096445269010555,4.372238319920212,,4.512655591168977,3.5072943448985656,3.3831732791613174,4.295480582040976,3.7521872965477217
TG (46:2) [M+NH4]+,,2.0,,791.7019,10.95,RPPOS,4.4774980593918015,4.583304102658616,4.108545142379282,4.349074411441203,4.298915289186616,4.481225429717024,4.491123907902055,4.513495199590433,4.218713695873528,5.059310736881294,4.313906596157439,4.842181434607199,4.2569265298314845,3.9540504173173123,4.277079610149003,4.52084783253031,4.092061814572385,4.633097315721984,3.7748764822254954,4.822110608578192,4.174482072124416,3.971487397502978,4.6375373427537285,4.127800462721748
TG (46:3) [M+NH4]+,,2.0,,789.6864,10.71,RPPOS,4.0570650900137855,4.1717227801227486,3.0847971891635715,4.012543363987361,3.81518649941587,4.1157024046725645,4.079007235962922,4.192427738210995,4.059209168395592,4.822995245746255,4.049533268935577,4.391490515636674,3.0674255827307095,,3.420714587167811,4.280437853350983,,4.481188764913081,,4.353981879403913,3.4751726878357,,4.1692814273272525,
TG (48:0) [M+Na]+,,2.0,,829.7246,11.54,RPPOS,3.8617507183914235,3.7765498591062525,3.6760037152287155,3.6108832361028793,3.6407638874790185,3.785470626709691,3.729470908808961,3.686451681097999,3.4317369574773817,3.599474907689423,3.6404683205210495,3.8290790895503095,3.8664298141523554,3.5379706903455292,3.6844258452457432,3.724450740656666,3.7179254479606403,3.8270489129782184,3.707310467159258,3.904564865819998,3.7292939199024633,3.7574016987826027,3.9286269121768695,3.595989705935196
TG (48:0) [M+NH4]+,,2.0,,823.7642,11.55,RPPOS,4.965614967344575,4.853537209182388,4.847245934437139,4.675045344305955,4.83968977375502,4.888947731296357,4.86570716409905,4.9046410755326635,4.830556353677452,4.86954857565038,4.862811401387353,4.882235402795568,4.85806910183786,4.837226139027995,4.886766813331994,4.914864291326885,4.666891766728852,4.702695570452183,4.825806401669126,4.917025952678983,4.8194339812215565,4.809048996618206,4.928137300488174,4.83561321418834
TG (48:1) [M+Na]+,,2.0,,827.7068,11.37,RPPOS,4.476697907691406,4.200419873392689,3.9805363627568493,3.99051282587358,4.158353042092595,4.3308230738452975,4.481653649132359,4.342196616317216,4.031942422341838,4.403382323825884,4.161062866171327,4.297319719830898,4.1852364600165535,3.896914488334834,4.208692282994933,4.174570640764895,3.8359109399132887,4.230351042020439,4.003343152546005,4.465920865762662,4.086642495723267,4.047623151914674,4.545650480473685,4.158141976344548
