super_pathway,n_metabolites,mean_log2FC_PD,mean_log2FC_I4,n_concordant,concordance_rate,avg_log2FC,enrichment_pvalue
Amino acids,66,-0.3125035427490651,-0.13077205540016637,41,0.6212121212121212,-0.22163779907461573,0.33688502414788485
Glycerophosphocholines [GP01],35,-0.31459187916549275,-0.4430569445350372,28,0.8,-0.37882441185026494,0.07759866798879936
Energy metabolism,12,-0.5771299170920113,-0.5129889054044937,11,0.9166666666666666,-0.5450594112482525,0.10849184399689404
Purine  and pyrimidine metabolism/nucleotide metabolism,16,-0.4825353541156129,0.1043043606403734,10,0.625,-0.18911549673761974,0.7826764344584471
Glycerophospholipids [GP],9,-0.5160192175940064,-0.4180250873679181,9,1.0,-0.46702215248096224,0.03136470715061611
"Cofactor, vitamin and antioxidant metabolism",11,-0.6607164407628621,-0.5196764122308963,9,0.8181818181818182,-0.5901964264968792,0.34458385035543454
Lipid metabolism,18,-0.24054142803857667,-0.2040226828092136,9,0.5,-0.22228205542389512,0.12015019410076867
Carbohydrate metabolism,7,-1.224837821009152,-0.4882311884586316,4,0.5714285714285714,-0.8565345047338918,0.686346353682247
Caffeine metabolism,3,-3.011483728269665,-1.1727309911895454,3,1.0,-2.092107359729605,0.5521599502745259
Glycerophosethanolamines [GP01],9,-0.5018879971284025,0.1902522873593109,3,0.3333333333333333,-0.1558178548845458,0.061613536464512
Glycylate and dicarboxylate metabolism,5,-0.8145136338155397,0.5226525961122859,2,0.4,-0.1459305188516269,0.33397717085411727
Porphyrin metabolism,2,-0.0017486321846811497,0.5801116864452223,1,0.5,0.28918152713027057,0.5521599502745259
Butyrate metabolism,1,-0.3619825931984642,0.1695600050558203,0,0.0,-0.09621129407132195,0.3299492385786802
Amino sugar and nucleotide sugar metabolism,1,-2.3405024378784245,0.2793665587219694,0,0.0,-1.0305679395782275,0.3299492385786802
