metabolite_name,HMDB_id,pathway,super_pathway,log2FC_PD_R1,log2FC_I4_R1,avg_log2FC,pvalue_PD,pvalue_I4,padj_PD,padj_I4,regulation
1-Methylnicotinamide,HMDB01464,Nicotinate and nicotinamide metabolism,"Cofactor, vitamin and antioxidant metabolism",1.0881,0.9097,0.9989,0.0033390668125505,0.0799117772459048,0.1336486752807946,0.4393682020118479,UP
2-Hydroxy-isovaleric acid,,"Valine, leucine, and isoleucine biosynthesis / degradation",Amino acids,1.586,0.1313,0.8586,0.002797917261436,0.6527910278693025,0.1336486752807946,0.8508923513556516,UP
2-Hydroxybutyric acid,HMDB00008,Cysteine and methionine metabolism,Amino acids,1.2612,0.4052,0.8332,0.0202892528669231,0.172318365040026,0.2612758889597659,0.5472928354440263,UP
Corticosterone,HMDB01547,Steroid hormone biosynthesis,Lipid metabolism,0.6043,0.5381,0.5712,0.0679556231462549,0.2187785119283669,0.3543801504569161,0.5880403552006206,UP
Succinic Acid,HMDB00254,Citrate cycle (TCA cycle),Energy metabolism,1.1187,0.0046,0.5617,0.1640357185253788,0.9640249636345226,0.453976045568044,0.986479675918489,UP
Xanthine,HMDB00292,Purine metabolism,Purine  and pyrimidine metabolism/nucleotide metabolism,0.0745,1.0153,0.5449,0.9282424294244128,0.0571251123083362,0.9827939830025284,0.4132029385853039,UP
N-Acetylglycine,HMDB00532,Amino acid acetylation,Amino acids,0.5695,0.4579,0.5137,0.1051245824674678,0.0250566995476767,0.3792143066264267,0.3381288395367359,UP
4-Hydroxy-Proline,,Arginine and Proline metabolism,Amino acids,0.4355,0.4503,0.4429,0.4004510063313676,0.2184252273412333,0.6532195901831966,0.5880403552006206,UP
Bilirubin,HMDB00054,Porphyrin metabolism,Porphyrin metabolism,0.015,0.6146,0.3148,0.9784228869665272,0.2990490821040761,0.9993027653760432,0.6515513817823106,UP
PC 44:10,,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],0.3306,0.2829,0.3067,0.4047683989883199,0.817416889936794,0.6532195901831966,0.9409478282768764,UP
Ketoleucine,HMDB00695,"Valine, Leucine and Isoleucine Degradation",Amino acids,0.3126,0.2376,0.2751,0.3156877845765978,0.3933590239232667,0.5744416869956485,0.6984445660999736,UP
Lysophosphatidic Acid,HMDB07855,"Glycerophospholipid metabolism, choline metabolism",Lipid metabolism,0.4123,0.1239,0.2681,0.4733128776399631,0.410235361326503,0.6932851934003419,0.7144313054895768,UP
Acetylcarnitine,HMDB00201,Carnitine metabolism,Lipid metabolism,0.1812,0.3412,0.2612,0.6907142331881059,0.3123789983587958,0.8608344027798343,0.6522357789806338,UP
PE 38:6,,Glycerophosethanolamines [GP01],Glycerophosethanolamines [GP01],0.0769,0.3022,0.1896,0.8885094271941595,0.5582723777716119,0.9744179297694724,0.8255109586065473,UP
Cysteine-S-Sulfonic Acid,HMDB00731,Cysteine and Methionine metabolism,Amino acids,0.2592,0.1147,0.1869,0.4647817322278756,0.6483149999744852,0.6884443029009145,0.8502136175419236,UP
Quinic Acid,HMDB03072,,,-3.7369,-2.5104,-3.1237,0.0139546012138237,0.0972505431846943,0.214764716242019,0.4568749476697618,DOWN
Theobromine,HMDB02825,Cacao alkaloid,Caffeine metabolism,-3.456,-1.5549,-2.5055,0.0415159786680273,0.128354402043567,0.3352311277389937,0.470632807493079,DOWN
Trigonelline/N-Methylnicotinate,HMDB00875,Nicotinate and nicotinamide metabolism,"Cofactor, vitamin and antioxidant metabolism",-2.9527,-1.458,-2.2053,0.052158949039958,0.1808347808407012,0.3392006368211062,0.551057338913218,DOWN
Proline Betaine,HMDB04827,"Arginine and Proline metabolism, osmolyte",Amino acids,-2.0523,-2.0668,-2.0595,0.1107914328779873,0.0925030845407876,0.3823578427076766,0.44943203779015,DOWN
C-PAF/methylCarbamyl-PAF C-16,,Glycerophospholipid metabolism/PAF,Lipid metabolism,-2.1512,-1.9561,-2.0537,0.0082392909035636,0.0847944408946987,0.1792756055223667,0.4393682020118479,DOWN
Caffeine,HMDB01847,Caffeine metabolism,Caffeine metabolism,-2.1224,-1.9282,-2.0253,0.2348041809849405,0.0539088342346629,0.5185424114097582,0.4132029385853039,DOWN
Hydroquinone,HMDB02434,Tyrosine metabolism,Amino acids,-2.4102,-1.6079,-2.0091,0.0068331982985013,0.0411417030316752,0.1658364663982438,0.4033675666801199,DOWN
Pyruvate,HMDB00243,Glycolysis / Gluconeogenesis,Energy metabolism,-1.0123,-2.9141,-1.9632,0.1657612357414264,0.0788020225797667,0.456748208527686,0.4393682020118479,DOWN
Paraxanthine,HMDB01860,Caffiene metabolism,Caffeine metabolism,-3.456,-0.0351,-1.7456,0.0415159786680273,0.8815660140283332,0.3352311277389937,0.9514184856318494,DOWN
Hippuric Acid,HMDB00714,Phenylalanine metabolism,Amino acids,-2.386,-0.779,-1.5825,0.17538401027414,0.4941410190386736,0.4770142693231998,0.786575210304444,DOWN
Sucrose,HMDB00258,Galactose metabolism; starch and sucrose metabolism,Carbohydrate metabolism,-1.722,-1.2766,-1.4993,0.2064178146438947,0.3582701385783867,0.5005175660219998,0.6716913961512664,DOWN
Lactose,HMDB00186,Galactose metabolism,Carbohydrate metabolism,-1.7381,-1.2479,-1.493,0.2058130610864856,0.3645853178208785,0.5005175660219998,0.6753787462054534,DOWN
Deoxyribose,HMDB03224,Pentose phosphate pathway,Energy metabolism,-2.6958,-0.1979,-1.4468,0.0936561456208021,0.6745614740308381,0.3764494188759763,0.8611912866684058,DOWN
PC 28:1,,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],-0.6415,-2.0418,-1.3417,0.2701403267662553,0.0349015967645405,0.5354141537644564,0.383917564409946,DOWN
Dehydroascorbic Acid,HMDB01264,Ascorbate and aldarate metabolism,"Cofactor, vitamin and antioxidant metabolism",-1.1382,-1.3794,-1.2588,0.0743733126445621,0.0587384674181277,0.3717512091653902,0.4132029385853039,DOWN
