metabolite_id,metabolite_name,HMDB_id,KEGG_id,pathway,super_pathway,chemical_class,formula,CAS_id
MET_0001,Aspartic Acid,,,"Alanine, Aspartate, and Glutamate metabolism",Amino acids,Amino acid,C4H7NO4,56-84-8
MET_0002,2-Hydroxyglutaric Acid,,,"Alanine, Aspartate, and Glutamate metabolism, glutamate degradation",Amino acids,Amino acid,C5H8O5,
MET_0003,N-Acetylputrescine,,,Arginine and proline metabolism,Amino acids,Amino acid,C6H14N2O,5699-41-2
MET_0004,4-Guanidinobutyric Acid,,,Arginine and proline metabolism,Amino acids,Amino acid,C5H11N3O2,463-00-3
MET_0005,L-Monomethylarginine (LNMA),,,Arginine and Proline metabolism,Amino acids,Amino acid,C7H16N4O2,53308-83-1
MET_0006,N-Acetylglutamic Acid,,,Arginine and proline metabolism,Amino acids,Amino acid,C7H11NO5,1188-37-0
MET_0007,Cysteine,,,Cysteine and Methionine metabolism,Amino acids,Amino acid,C3H7NO2S,52-90-4
MET_0008,Methylcysteine,,,Cysteine and methionine metabolism,Amino acids,Amino acid,C4H9NO2S,
MET_0009,Sarcosine,,,"Glycine, serine, and threonine metabolism",Amino acids,Amino acid,C3H7NO2,107-97-1
MET_0010,Dimethylglycine,,,Glycine metabolism,Amino acids,Amino acid,C4H9NO2,1118-68-9
MET_0011,Guanidinoacetic Acid,,,"Glycine, serine, and threonine metabolism",Amino acids,Amino acid,C3H7N3O2,352-97-6
MET_0012,3-Methylhistamine,,,"Histidine metabolism, histamine metabolite",Amino acids,Amino acid,C6H11N3,36475-47-5
MET_0013,Histidinol,,,Histidine metabolism,Amino acids,Amino acid,C6H11N3O,4836-52-6
MET_0014,5-Aminopentanoate,,,Lysine degradation,Amino acids,Amino acid,C5H11NO2,660-88-8
MET_0015,2-Oxoadipic Acid,,,"lysine biosynthesis/degradation, tryptophan metabolism",Amino acids,Amino acid,C6H8O5,3184-35-8
MET_0016,Phenylacetylglycine,,,Phenylalanine metabolism,Amino acids,Amino acid,C10H11NO3,500-98-1
MET_0017,Picolinic Acid,,,Tryptophan metabolism,Amino acids,Amino acid,C6H5NO2,98-98-6
MET_0018,3-Hydroxyanthranilic Acid,,,Tryptophan metabolism,Amino acids,Amino acid,C7H7NO3,548-93-6
MET_0019,3-Methoxy-Tyrosine,,,Tyrosine metabolism,Amino acids,Amino acid,C10H13NO4,300-48-1
MET_0020,3-Methy2-Oxopentanoic Acid,,,Isoleucine degradation,Amino acids,Amino acid,C6H10O3,1460-34-0
MET_0021,2-Hydroxy-3-Methylpentanoic Acid,,,Isoleucine metabolism,Amino acids,Amino acid,C6H12O3,
MET_0022,3-Methylglutaric Acid,,,Leucine metabolism,Amino acids,Amino acid,C6H10O4,626-51-7
MET_0023,Itaconic Acid,,,"Valin, leucine, isoleucine biosynthesis",Amino acids,Amino acid,C5H6O4,
MET_0024,N-Acetylalanine,,,Amino acid acetylation,Amino acids,Amino acid,C5H9NO3,97-69-8
MET_0025,2-Methylglutaric Acid,,,"Citrate cycle (TCA cycle), Succinic acid metabolite",Energy metabolism,Energy metabolism,C6H10O4,18069-17-5
MET_0026,Glucose,,,Glycolysis; Gluconogenesis; galactose metabolism,Energy metabolism,Energy metabolism,C6H12O6,492-62-6
MET_0027,3-Phosphohexose?,,,Glycolysis -Cycle sugar phosphate?,Energy metabolism,Energy metabolism,C6H11O8P,
MET_0028,2-DeoxyRibose 5-Phosphate-fragment?,,,Pentose phosphate pathway,Energy metabolism,Energy metabolism,C5H9O7P,4300-28-1
MET_0029,Galacturonic Acid,,,Pentose and glucuronate interconversions,Energy metabolism,Energy metabolism,C6H10O7,685-73-4
MET_0030,3-Aminoisobutyric Acid,,,Pyrimidine metabolism,Purine  and pyrimidine metabolism/nucleotide metabolism,Nucleotide,C4H9NO2,144-90-1
MET_0031,Thymidine+Cl,,,Pyrimidine metabolism,Purine  and pyrimidine metabolism/nucleotide metabolism,Nucleotide,C10H15ClN2O5,50-89-5
MET_0032,N-Acetylglucosamine (GlcNAc),,,Amino sugar metabolism,Amino sugar and nucleotide sugar metabolism,Amino acid,C8H15NO6,7512-17-6
MET_0033,Rhamnose,,,Fructose and mannose metabolism,Carbohydrate metabolism,Carbohydrate,C6H12O5,10030-85-0
MET_0034,Fructose,,,Fructose and mannose metabolism,Carbohydrate metabolism,Carbohydrate,C6H12O6,59-23-4
MET_0035,Maltose,,,Starch and sucrose metabolism,Carbohydrate metabolism,Carbohydrate,C12H22O11,69-79-4
MET_0036,Glycocholic Acid,,,Bile acid biosynthesis,Lipid metabolism,Lipid,C26H43NO6,475-31-0
MET_0037,FA 28:0,,,Fatty acid metabolism,Fatty acid metabolism,Other,C28H56O2,
MET_0038,FA 26:0,,,Fatty acid metabolism,Fatty acid metabolism,Other,C26H52O2,
MET_0039,FA 24:1,,,Fatty acid metabolism,Fatty acid metabolism,Other,C24H46O2,
MET_0040,FA 24:0,,,Fatty acid metabolism,Fatty acid metabolism,Other,C24H48O2,
MET_0041,FA 22:6,,,Fatty acid metabolism,Fatty acid metabolism,Other,C22H32O2,
MET_0042,FA 22:5,,,Fatty acid metabolism,Fatty acid metabolism,Other,C22H34O2,
MET_0043,FA 22:4,,,Fatty acid metabolism,Fatty acid metabolism,Other,C22H36O2,
MET_0044,FA 22:1,,,Fatty acid metabolism,Fatty acid metabolism,Other,C22H42O2,
MET_0045,FA 22:0,,,Fatty acid metabolism,Fatty acid metabolism,Other,C22H44O2,
MET_0046,FA 20:6,,,Fatty acid metabolism,Fatty acid metabolism,Other,C20H28O2,
MET_0047,FA 20:5,,,Fatty acid metabolism,Fatty acid metabolism,Other,C20H30O2,
MET_0048,FA 20:4,,,Fatty acid metabolism,Fatty acid metabolism,Other,C20H32O2,
MET_0049,FA 20:3,,,Fatty acid metabolism,Fatty acid metabolism,Other,C20H34O2,
MET_0050,FA 20:2,,,Fatty acid metabolism,Fatty acid metabolism,Other,C20H36O2,
MET_0051,FA 20:1,,,Fatty acid metabolism,Fatty acid metabolism,Other,C20H38O2,
MET_0052,FA 20:0,,,Fatty acid metabolism,Fatty acid metabolism,Other,C20H40O2,
MET_0053,FA 18:3,,,Fatty acid metabolism,Fatty acid metabolism,Other,C18H30O2,
MET_0054,FA 18:2,,,Fatty acid metabolism,Fatty acid metabolism,Other,C18H32O2,
MET_0055,FA 18:1,,,Fatty acid metabolism,Fatty acid metabolism,Other,C18H34O2,
MET_0056,FA 18:0,,,Fatty acid metabolism,Fatty acid metabolism,Other,C18H36O2,
MET_0057,FA 17:1,,,Fatty acid metabolism,Fatty acid metabolism,Other,C17H32O2,
MET_0058,FA 17:0,,,Fatty acid metabolism,Fatty acid metabolism,Other,C17H34O2,
MET_0059,FA 16:0,,,Fatty acid metabolism,Fatty acid metabolism,Other,C16H32O2,
MET_0060,FA 14:0,,,Fatty acid metabolism,Fatty acid metabolism,Other,C14H28O2,
MET_0061,FA 26:0;O,,,Fatty acid metabolism,Fatty acid metabolism,Other,C26H52O3,
MET_0062,FA 24:1;O,,,Fatty acid metabolism,Fatty acid metabolism,Other,C24H46O3,
MET_0063,FA 24:0;O,,,Fatty acid metabolism,Fatty acid metabolism,Other,C24H48O3,
MET_0064,FA 22:0;O,,,Fatty acid metabolism,Fatty acid metabolism,Other,C22H44O3,
MET_0065,FA 18:1;O,,,Fatty acid metabolism,Fatty acid metabolism,Other,C18H34O3,
MET_0066,FA 18:0;O,,,Fatty acid metabolism,Fatty acid metabolism,Other,C18H26O3,
MET_0067,FA 16:0;O,,,Fatty acid metabolism,Fatty acid metabolism,Other,C16H32O3,
MET_0068,FA 14:1;O,,,Fatty acid metabolism,Fatty acid metabolism,Other,C14H26O3,
MET_0069,FA 12:0;O,,,Fatty acid metabolism,Fatty acid metabolism,Other,C12H24O3,
MET_0070,9-PAHSA,,,Fatty acid metabolism,Fatty acid metabolism,Other,C34H66O4,
MET_0071,"12,13 DiHOME",,,Fatty acid metabolism,Fatty acid metabolism,Other,C18H34O4,
MET_0072,CAR 3:0,,,Acylcarnitine metabolism,Fatty acid metabolism,Other,C10H19NO4,
MET_0073,CAR 4:0,,,Acylcarnitine metabolism,Fatty acid metabolism,Other,C11H21NO4,
MET_0074,CAR 5:1,,,Acylcarnitine metabolism,Fatty acid metabolism,Other,C12H21NO4,
MET_0075,CAR 5:0,,,Acylcarnitine metabolism,Fatty acid metabolism,Other,C12H23NO4,
MET_0076,"CAR 5:0,iso",,,Acylcarnitine metabolism,Fatty acid metabolism,Other,C12H23NO4,
MET_0077,CAR 6:1,,,Acylcarnitine metabolism,Fatty acid metabolism,Other,C13H23NO4,
MET_0078,CAR 6:0,,,Acylcarnitine metabolism,Fatty acid metabolism,Other,C13H25NO4,
MET_0079,CAR 8:1,,,Acylcarnitine metabolism,Fatty acid metabolism,Other,C15H27NO4,
MET_0080,CAR 8:0,,,Acylcarnitine metabolism,Fatty acid metabolism,Other,C15H29NO4,
MET_0081,CAR 8:0;O,,,Acylcarnitine metabolism,Fatty acid metabolism,Other,C15H29NO5,
MET_0082,CAR 10:1,,,Acylcarnitine metabolism,Fatty acid metabolism,Other,C17H31NO4,
MET_0083,CAR 10:0;O,,,Acylcarnitine metabolism,Fatty acid metabolism,Other,C17H33NO5,
MET_0084,CAR 12:1,,,Acylcarnitine metabolism,Fatty acid metabolism,Other,C19H35NO4,
MET_0085,CAR 12:0,,,Acylcarnitine metabolism,Fatty acid metabolism,Other,C19H37NO4,
MET_0086,CAR 14:2,,,Acylcarnitine metabolism,Fatty acid metabolism,Other,C21H37NO4,
MET_0087,CAR 14:1,,,Acylcarnitine metabolism,Fatty acid metabolism,Other,C21H39NO4,
MET_0088,CAR 14:0,,,Acylcarnitine metabolism,Fatty acid metabolism,Other,C21H41NO4,
MET_0089,CAR 16:2,,,Acylcarnitine metabolism,Fatty acid metabolism,Other,C23H41NO4,
MET_0090,CAR 16:1,,,Carnitine metabolism,Lipid metabolism,Lipid,C23H43NO4,
MET_0091,CAR 16:0,,,Carnitine metabolism,Lipid metabolism,Lipid,C23H45NO4,
MET_0092,CAR 17:0,,,Acylcarnitine metabolism,Fatty acid metabolism,Other,C24H47NO4,
MET_0093,CAR 18:3,,,Acylcarnitine metabolism,Fatty acid metabolism,Other,C25H43NO4,
MET_0094,CAR 18:1,,,Acylcarnitine metabolism,Fatty acid metabolism,Other,C25H47NO4,
MET_0095,CAR 18:0,,,Acylcarnitine metabolism,Fatty acid metabolism,Other,C25H49NO4,
MET_0096,CAR 20:0,,,Acylcarnitine metabolism,Fatty acid metabolism,Other,C27H53NO4,
MET_0097,CAR 10:0,,,Acylcarnitine metabolism,Fatty acid metabolism,Other,C17H33NO4,
MET_0098,CAR 13:0,,,Acylcarnitine metabolism,Fatty acid metabolism,Other,C20H39NO4,
MET_0099,CAR 14:0;O,,,Acylcarnitine metabolism,Fatty acid metabolism,Other,C21H41NO5,
MET_0100,CAR 14:1;O,,,Acylcarnitine metabolism,Fatty acid metabolism,Other,C21H39NO5,
MET_0101,CAR 16:0;O,,,Acylcarnitine metabolism,Fatty acid metabolism,Other,C23H45NO5,
MET_0102,CAR 18:2,,,Acylcarnitine metabolism,Fatty acid metabolism,Other,C25H45NO4,
MET_0103,CAR 24:0,,,Acylcarnitine metabolism,Fatty acid metabolism,Other,C31H61NO4,
MET_0104,CAR 26:0,,,Acylcarnitine metabolism,Fatty acid metabolism,Other,C33H65NO4,
MET_0105,Deoxycarnitine,,,Carnitine metabolism,Lipid metabolism,Lipid,C7H15NO2,407-64-7
MET_0106,Methylglutarylcarnitine/C4:1;O2,,,Acylcarnitine metabolism,Fatty acid metabolism,Other,C11H19NO6,
MET_0107,Linoleyl Carnitine/CAR 18:2,,,Acylcarnitine metabolism,Fatty acid metabolism,Other,C25H45NO4,
MET_0108,Glutarylcarnitine/CAR 5:1;O2,,,Acylcarnitine metabolism,Fatty acid metabolism,Other,C12H21NO6,
MET_0109,3-Methylglutarylcarnitine/CAR 6:1;O2,,,Acylcarnitine metabolism,Fatty acid metabolism,Other,C13H23NO6,
MET_0110,Pimelylcarnitine/CAR 7:1;O2,,,Acylcarnitine metabolism,Fatty acid metabolism,Other,C14H25NO6,
MET_0111,Keto-decanoylcarnitine/CAR 10:1:O,,,Acylcarnitine metabolism,Fatty acid metabolism,Other,C17H31NO5,
MET_0112,Undecanoyl carnitine/CAR 11:0,,,Acylcarnitine metabolism,Fatty acid metabolism,Other,C18H35NO4,
MET_0113,Isovaleric Acid/FA 5:0,,,"Fatty Acid metabolism, Branched fatty acids",Lipid metabolism,Lipid,C5H10O2,503-74-2
MET_0114,Mevalolactone/FA 6:1;O,,,"Fatty Acid metabolism, Biosynthesis of terpenes and steroids",Lipid metabolism,Lipid,C6H10O3,503-48-0
MET_0115,Ethylmalonic Acid/FA 5:1;O2,,,"Fatty Acid metabolism, dicarboxylic acid",Lipid metabolism,Lipid,C5H8O4,601-75-2
MET_0116,Suberic Acid/FA 8:1;O2,,,"Fatty acid breakdown, dicarboxylic acid",Lipid metabolism,Lipid,C8H14O4,505-48-6
MET_0117,Caproic Acid/FA 6:0,,,Fatty acid biosynthesis; Beta oxidation of fatty acids,Lipid metabolism,Lipid,C6H12O2,142-62-1
MET_0118,5-Hydroxyhexanoic Acid/FA 6:0;O,,,Fatty acid metabolism,Lipid metabolism,Lipid,C6H12O3,
MET_0119,Glutaric Acid Methyl Ester,,,"Fatty Acids and Conjugates, Dicarboxylic Acid Derivative",Lipid metabolism,Lipid,C6H10O4,1501-27-5
MET_0120,"1,9-Nonanedioate/FA 9:1;O2",,,"Fatty Acid metabolism, Dicarboxylic Acids and Derivatives",Lipid metabolism,Lipid,C9H16O4,123-99-9
MET_0121,10-Hydroxydecanoate/FA 10:0;O,,,Fatty acid metabolism,Lipid metabolism,Lipid,C10H20O3,1679-53-4
MET_0122,Acetylcholine,,,"Glycerophospholipid metabolism, neurotransmitter",Lipid metabolism,Lipid,C7H15NO2,51-84-3
MET_0123,Cortisone,,,Steroid hormone biosynthesis,Lipid metabolism,Lipid,C21H28O5,53-06-5
MET_0124,Cholesterol Sulfate,,,Steroid hormone biosynthesis,Lipid metabolism,Lipid,C27H46O4S,1256-86-6
MET_0125,5Allotetrahydrocortisol,,,Steroid metabolism (cortisol),Lipid metabolism,Lipid,C21H34O5,302-91-0
MET_0126,Mevalonic acid/FA 6:0;O2,,,Terpenoid backbone biosynthesis,Lipid metabolism,Lipid,C6H12O4,17817-88-8
MET_0127,"Anandamide  (20:4, N-6)",,,N-acylethanolamine (NAE) metabolism,Lipid metabolism,Lipid,C22H37NO2,94421-68-8
MET_0128,5-Aminolevulinic Acid,,,Heme/porphyrin synthesis,Porphyrin metabolism,Other,C5H9NO3,106-60-5
MET_0129,3-Hydrobutyrate/FA 4:0;O,,,Ketone bodies,Keto-Acids and Derivatives,Other,C4H8O3,300-85-6
MET_0130,Caffeic Acid,,,Caffeine metabolism,Caffeine metabolism,Other,C9H8O4,331-39-5
MET_0131,"2,3-Dihydroxybenzoic Acid",,,,,Unknown,C7H6O4,303-38-8
MET_0132,4-Hydroxycinnamic Acid,,,,,Unknown,C9H8O3,501-98-4
MET_0133,Salicylamide,,,,,Unknown,C7H7NO2,65-45-2
MET_0134,Lyxose,,,,,Unknown,C5H10O5,1114-34-7
MET_0135,M-Salicylic Acid,,,,,Unknown,C7H6O3,99-06-9
MET_0136,"2,6-Diaminopimelic Acid",,,,,Unknown,C7H14N2O4,583-93-7
MET_0137,1-Hydroxy-2-Naphthoate,,,,,Unknown,C11H8O3,86-48-6
MET_0138,4-Hydroxybenzoic Acid,,,,,Unknown,C7H6O3,99-96-7
MET_0139,Glucaric Acid,,,,,Unknown,C6H10O8,576-42-1
MET_0140,Protocatechuic Acid,,,,,Unknown,C7H6O4,99-50-3
MET_0141,Benzoic Acid,,,,,Unknown,C7H6O2,65-85-0
MET_0142,5-Valerolactone,,,,,Unknown,C5H8O2,542-28-9
MET_0143,Theophylline,,,,,Unknown,C7H8N4O2,58-55-9
MET_0144,"2',4'-Dihydroxyacetophenone",,,,,Unknown,C8H8O3,89-84-9
MET_0145,Xylose,,,,,Unknown,C5H10O5,58-86-6
MET_0146,Adipic Acid,,,,,Unknown,C6H10O4,124-04-9
MET_0147,2-Aminoisobutyric Acid,,,,,Unknown,C4H9NO2,62-57-7
MET_0148,2-Acetamido-2-Deoxy-Beta-Glucosylamine,,,,,Unknown,C8H16N2O5,4229-38-3
MET_0149,Phthalate,,,,,Unknown,C8H6O4,
MET_0150,Glycochenodeoxycholiccid,,,,,Unknown,C26H43NO5,
MET_0151,Ubiquinone/Coenzyme Q10,,,,,Unknown,C59H90O4,
MET_0152,Glycinyl- lactose?,,,,,Unknown,C14H25NO12,
MET_0153,PC O-12:1,,,"1-alkyl,2-acylglycerophosphocholines [GP0102]",Glycerophosphocholines [GP01],Other,C20H40NO7P,
MET_0154,PC 12:4,,,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],Other,C20H32NO8P,
MET_0155,LPC O-15:1,,,1Z-alkenylglycerophosphocholines [GP0107],Glycerophosphocholines [GP01],Other,C23H48NO6P,
MET_0156,PC O-14:0,,,"1-alkyl,2-acylglycerophosphocholines [GP0102]",Glycerophosphocholines [GP01],Other,C22H46NO7P,
MET_0157,LPC 15:1,,,Monoacylglycerophosphocholines [GP0105],Glycerophosphocholines [GP01],Other,C23H46NO7P,
MET_0158,LPC O-16:1,,,Monoalkylglycerophosphocholines [GP0106],Glycerophosphocholines [GP01],Other,C24H50NO6P,
MET_0159,LPC 15:0,,,Monoacylglycerophosphocholines [GP0105],Glycerophosphocholines [GP01],Other,C23H48NO7P,
MET_0160,LPC O-16:0,,,Monoalkylglycerophosphocholines [GP0106],Glycerophosphocholines [GP01],Other,C24H52NO6P,
MET_0161,Cytidine diphosphate choline (CDPcholine),,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C14H26N4O11P2,987-78-0
MET_0162,LPC 16:1,,,Monoacylglycerophosphocholines [GP0105],Glycerophosphocholines [GP01],Other,C24H48NO7P,
MET_0163,LPC 16:0,,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C24H50NO7P,
MET_0164,PC 16:4,,,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],Other,C24H40NO8P,
MET_0165,LPC 17:1,,,Monoacylglycerophosphocholines [GP0105],Glycerophosphocholines [GP01],Other,C25H50NO7P,
MET_0166,PC O-17:0,,,"1-alkyl,2-acylglycerophosphocholines [GP0102]",Glycerophosphocholines [GP01],Other,C25H52NO7P,
MET_0167,LPC 18:3,,,Monoacylglycerophosphocholines [GP0105],Glycerophosphocholines [GP01],Other,C26H48NO7P,
MET_0168,LPC 18:2,,,Monoacylglycerophosphocholines [GP0105],Glycerophosphocholines [GP01],Other,C26H50NO7P,
MET_0169,LPC 18:1,,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C26H52NO7P,
MET_0170,LPC 18:0,,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C26H54NO7P,
MET_0171,2-O-methyl PAF C-18,,,Glycerophospholipid metabolism/acylglycerol,Lipid metabolism,Lipid,C27H58NO6P,77286-66-9
MET_0172,LPC O-19:0,,,Monoalkylglycerophosphocholines [GP0106],Glycerophosphocholines [GP01],Other,C27H58NO6P,
MET_0173,LPC O-20:1,,,1Z-alkenylglycerophosphocholines [GP0107],Glycerophosphocholines [GP01],Other,C28H58NO6P,
MET_0174,PC O-19:0,,,"1-alkyl,2-acylglycerophosphocholines [GP0102]",Glycerophosphocholines [GP01],Other,C27H56NO7P,
MET_0175,PC O-20:1,,,"1-alkyl,2-acylglycerophosphocholines [GP0102]",Glycerophosphocholines [GP01],Other,C28H56NO7P,
MET_0176,PAF C18:0,,,Glycerophospholipid metabolism,Lipid metabolism,Lipid,C28H58NO7P,79549-26-1
MET_0177,PC O-20:0,,,"1-alkyl,2-acylglycerophosphocholines [GP0102]",Glycerophosphocholines [GP01],Other,C28H58NO7P,
MET_0178,PC 26:0,,,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],Other,C34H68NO8P,
