gene_name_PD,gene_id,gene_type,baseMean_PD,log2FoldChange_PD,lfcSE,stat,pvalue_PD,padj_PD,gene_name_I4,log2FoldChange_I4,pvalue_I4,padj_I4,baseMean_I4,gene_name,sig_PD,sig_I4,concordant,both_down,both_up,strong_concordant
FHDC1,ENSG00000137460.10,protein_coding,95.4933525874462,-1.72174087807053,0.352168260827187,-4.88897231688751,1.01363747266696e-06,0.0054026877293149,FHDC1,0.123720945664928,0.833963411419597,0.953930085136242,143.201520445126,FHDC1,True,False,False,False,False,False
ANK1,ENSG00000029534.21,protein_coding,33.7476787939231,-1.87616366115606,0.425521361506354,-4.40909395127521,1.03803988539138e-05,0.0201704703752615,ANK1,-0.801027118347881,0.0772676104537,0.438092889299885,220.672194130582,ANK1,True,False,True,True,False,True
SLC4A1,ENSG00000004939.16,protein_coding,96.2277570123124,-1.05230064978758,0.239722778050098,-4.38965649550276,1.13529852018358e-05,0.0201704703752615,SLC4A1,-0.429135752150876,0.22146389756522,0.615470759669196,474.161599379251,SLC4A1,True,False,True,True,False,False
RP11-206L10.8,ENSG00000230092.7,transcribed_unprocessed_pseudogene,11.0779517558745,1.83370608376441,0.432711084933477,4.23771460360512,2.25806548053756e-05,0.030088722528163,RP11-206L10.8,-0.531141280055894,0.161712627679567,0.550639329613213,70.1509738925757,RP11-206L10.8,True,False,False,False,False,False
DYNC1LI2,ENSG00000135720.13,protein_coding,26.5025908666605,-1.77502635524202,0.427314645047483,-4.15390948055333,3.2684251324419e-05,0.0348414119118307,DYNC1LI2,0.569403731193252,0.110958190506088,0.483768653196086,77.4446729510977,DYNC1LI2,True,False,False,False,False,False
IGF2BP2,ENSG00000073792.16,protein_coding,10.8181548928611,-2.50143675801945,0.620195897669575,-4.03330103829895,5.49987488494794e-05,0.0488572218946209,IGF2BP2,-0.734745819812647,0.180117192580152,0.569395853242095,136.650788994738,IGF2BP2,True,False,True,True,False,True
CA1,ENSG00000133742.14,protein_coding,31.8913965453089,-1.38047233604823,0.354419192188041,-3.89502703712445,9.81877768130958e-05,0.0747629786305429,CA1,-0.109265417539999,0.702621244673318,0.906366038896097,116.568760120996,CA1,True,False,True,True,False,False
SNORD3A,ENSG00000263934.5,snoRNA,17.5615218158737,2.14656502340092,0.562593450092497,3.81548171783372,0.0001359175194603,0.0895664665613878,SNORD3A,-0.417865828295314,0.496046137406003,0.810866419916855,183.477325574923,SNORD3A,True,False,False,False,False,False
NUTF2,ENSG00000102898.12,protein_coding,12.2162068617007,1.70651479333284,0.450383275874759,3.78902788967541,0.0001512379360323,0.0895664665613878,NUTF2,-0.968432680098624,0.0338796903298961,0.366205588866758,194.450949926852,NUTF2,True,False,False,False,False,False
TRAK2,ENSG00000115993.13,protein_coding,344.793376498104,-1.00269459878656,0.273091009993851,-3.67164997049568,0.0002409895964581,0.11679385909526,TRAK2,0.403010398089204,0.470917404355671,0.801134851285089,1021.13994975691,TRAK2,False,False,False,False,False,False
CCDC26,ENSG00000229140.11,lncRNA,5.16200708410666,3.36243620299847,0.915796225001509,3.6715986714107,0.0002410379831234,0.11679385909526,CCDC26,0.985220411291927,0.0220827979846079,0.332448677199817,11.4004242596369,CCDC26,False,False,True,False,True,True
RNF141,ENSG00000110315.7,protein_coding,9.00765297601248,1.86554504255238,0.513528643019304,3.63279647184598,0.0002803661577391,0.124529301729125,RNF141,0.331824739652576,0.354879802795547,0.730523461841705,54.3107948881738,RNF141,False,False,True,False,True,False
STK25,ENSG00000115694.15,protein_coding,6.24384160565412,2.08889613043531,0.580629141752045,3.597642591848,0.0003211144595699,0.12536463404807,STK25,0.376929097175939,0.195133189915874,0.585457957895414,46.0112539382676,STK25,False,False,True,False,True,False
IREB2,ENSG00000136381.13,protein_coding,12.1637052834073,-1.81564268519219,0.510436648181804,-3.55703825667609,0.0003750595531712,0.12536463404807,IREB2,0.236884867680477,0.338085530730073,0.718978497694685,57.8161935534128,IREB2,False,False,False,False,False,False
PLEKHA4,ENSG00000105559.12,protein_coding,5.5193394121369,-3.57681047630301,1.00579430134031,-3.55620475432859,0.0003762508794857,0.12536463404807,PLEKHA4,1.41551442481984,0.0375083389991959,0.369585327093452,12.303673257437,PLEKHA4,False,False,False,False,False,False
RNY5,ENSG00000286171.1,lncRNA,2.38545615290663,4.24345356157148,1.19327177754828,3.55615010881272,0.0003763291078366,0.12536463404807,RNY5,-1.66567869270275,1.97281889506864e-05,0.011164221431073,41.7258142987727,RNY5,False,True,False,False,False,False
HBB,ENSG00000244734.4,protein_coding,1439.09390789703,-0.642528585926909,0.182529704613549,-3.52013162617704,0.0004313326868162,0.131437830745544,HBB,-2.21959622034069,0.0008696183759451,0.101391435530262,28344.8374859507,HBB,False,False,True,True,False,True
EPB42,ENSG00000166947.15,protein_coding,4.02222892796701,-4.16957635509395,1.18706154760439,-3.51251909684765,0.0004438801038311,0.131437830745544,EPB42,-1.20899463533264,0.0390903542092119,0.374186870884955,39.7183964837725,EPB42,False,False,True,True,False,True
RNU1-27P,ENSG00000206596.1,snRNA,83.5192740033151,1.20467680154713,0.345216498221811,3.4896269667074,0.0004836952231445,0.135689238913712,RNU1-27P,0.292267787099978,0.21591936751181,0.607640611294111,467.538347931287,RNU1-27P,False,False,True,False,True,False
AIF1,ENSG00000204472.13,protein_coding,120.718560273558,0.730833575494785,0.215321267099315,3.3941541647983,0.000688409274373,0.183461071620413,AIF1,0.474322533103789,0.111289512363617,0.483911509310491,629.270559866997,AIF1,False,False,True,False,True,False
RN7SL396P,ENSG00000244642.3,misc_RNA,15.7189909015149,1.16213672536325,0.343761399939953,3.38064926884243,0.0007231478448305,0.183541810140324,RN7SL396P,-0.966141116366197,1.03412667363153e-08,0.000103691881565,1284.63163266356,RN7SL396P,False,True,False,False,False,False
SETD1A,ENSG00000099381.19,protein_coding,14.6970809144848,1.42384103109918,0.423883014621952,3.35904242912177,0.0007821305786588,0.186362201800971,SETD1A,0.705699500102003,0.0542276213668302,0.400927831787606,38.2305337602026,SETD1A,False,False,True,False,True,True
ATP5IF1,ENSG00000130770.18,protein_coding,25.9969041607479,1.05436027135087,0.314607746429887,3.35134872969774,0.0008041896137752,0.186362201800971,ATP5IF1,2.77904776515033e-05,0.999929068903944,0.999929068903944,202.719884345305,ATP5IF1,False,False,True,False,True,False
RELL1,ENSG00000181826.10,protein_coding,5.52186029780515,-3.16400341123281,0.954113354161447,-3.31617139350659,0.0009125984129224,0.200723872313726,RELL1,-0.42870220364612,0.201345853662014,0.592843717049848,71.1752312859458,RELL1,False,False,True,True,False,False
BAG1,ENSG00000107262.26,protein_coding,24.7743358305515,-1.30331727553113,0.394054537979085,-3.3074540448518,0.0009414815774565,0.200723872313726,BAG1,-0.971700114809245,0.0307791501813935,0.358008535554306,258.23771539073,BAG1,False,False,True,True,False,True
DENND11,ENSG00000257093.7,protein_coding,11.14733063778,1.48948351508747,0.454087850491719,3.28016597113212,0.0010374603497359,0.212679371695864,DENND11,0.782850481878668,0.0054836119132446,0.210785496065289,40.1962867622166,DENND11,False,False,True,False,True,True
RBM23,ENSG00000100461.18,protein_coding,103.51891349729,0.884194432341364,0.271254626356406,3.25964738083253,0.001115508068999,0.220209555843154,RBM23,-0.235512779944699,0.185454609716393,0.576010621984219,824.074903573537,RBM23,False,False,False,False,False,False
H19,ENSG00000130600.19,lncRNA,36.7740660891257,-1.35019708421796,0.418882739670152,-3.22332948185252,0.0012670971451009,0.233096990759577,H19,1.07765594069952,0.121424806206159,0.497751148891947,50.7133732309456,H19,False,False,False,False,False,False
C1orf162,ENSG00000143110.12,protein_coding,26.4984510735686,1.00962714383313,0.313929484828126,3.21609531002128,0.0012994766701689,0.233096990759577,C1orf162,0.240170673687661,0.569563054236584,0.84617674118954,249.952390077164,C1orf162,False,False,True,False,True,False
PPP4R1,ENSG00000154845.16,protein_coding,11.873754960863,1.54050728146189,0.479409391157447,3.21334398089828,0.001311990567127,0.233096990759577,PPP4R1,0.264250949012014,0.340441400736189,0.720158196857951,77.8236516764538,PPP4R1,False,False,True,False,True,False
CACNG2,ENSG00000166862.7,protein_coding,3.85472199020205,4.80992641072565,1.51330753272453,3.17841965807568,0.0014808025072388,0.236101788310347,CACNG2,2.56753642792847,3.15496192979881e-06,0.0039543504087615,18.9835151998768,CACNG2,False,True,True,False,True,True
SIAH2,ENSG00000181788.4,protein_coding,16.7640279922141,-1.39687253028438,0.441452411328412,-3.16426526266089,0.0015547502185223,0.236101788310347,SIAH2,-0.559002674095811,0.2062908236598,0.599227005249592,150.002320907906,SIAH2,False,False,True,True,False,True
