gene_name,gene_id,gene_type,baseMean,log2FoldChange_R1,lfcSE,stat,pvalue,padj_R1,log2FoldChange_R39,padj_R39
FHDC1,ENSG00000137460.10,protein_coding,95.4933525874462,-1.72174087807053,0.352168260827187,-4.88897231688751,1.01363747266696e-06,0.0054026877293149,-0.827942998065557,0.793227009754725
ANK1,ENSG00000029534.21,protein_coding,33.7476787939231,-1.87616366115606,0.425521361506354,-4.40909395127521,1.03803988539138e-05,0.0201704703752615,-0.826774019047673,0.784543500352545
SLC4A1,ENSG00000004939.16,protein_coding,96.2277570123124,-1.05230064978758,0.239722778050098,-4.38965649550276,1.13529852018358e-05,0.0201704703752615,-0.513925216592377,0.711716254411751
RP11-206L10.8,ENSG00000230092.7,transcribed_unprocessed_pseudogene,11.0779517558745,1.83370608376441,0.432711084933477,4.23771460360512,2.25806548053756e-05,0.030088722528163,1.12166548131313,0.535194134240098
DYNC1LI2,ENSG00000135720.13,protein_coding,26.5025908666605,-1.77502635524202,0.427314645047483,-4.15390948055333,3.2684251324419e-05,0.0348414119118307,-0.99935688530005,0.293754490850378
IGF2BP2,ENSG00000073792.16,protein_coding,10.8181548928611,-2.50143675801945,0.620195897669575,-4.03330103829895,5.49987488494794e-05,0.0488572218946209,-0.825401892396339,0.887570013070269
CA1,ENSG00000133742.14,protein_coding,31.8913965453089,-1.38047233604823,0.354419192188041,-3.89502703712445,9.81877768130958e-05,0.0747629786305429,-0.585518595901001,0.870378725940802
SNORD3A,ENSG00000263934.5,snoRNA,17.5615218158737,2.14656502340092,0.562593450092497,3.81548171783372,0.0001359175194603,0.0895664665613878,1.60908615552386,0.500112710004713
NUTF2,ENSG00000102898.12,protein_coding,12.2162068617007,1.70651479333284,0.450383275874759,3.78902788967541,0.0001512379360323,0.0895664665613878,1.2768082432073,0.275423014060019
TRAK2,ENSG00000115993.13,protein_coding,344.793376498104,-1.00269459878656,0.273091009993851,-3.67164997049568,0.0002409895964581,0.11679385909526,-0.561753936910326,0.711716254411751
CCDC26,ENSG00000229140.11,lncRNA,5.16200708410666,3.36243620299847,0.915796225001509,3.6715986714107,0.0002410379831234,0.11679385909526,3.25472452383446,0.275423014060019
RNF141,ENSG00000110315.7,protein_coding,9.00765297601248,1.86554504255238,0.513528643019304,3.63279647184598,0.0002803661577391,0.124529301729125,1.10889236938963,0.793227009754725
STK25,ENSG00000115694.15,protein_coding,6.24384160565412,2.08889613043531,0.580629141752045,3.597642591848,0.0003211144595699,0.12536463404807,1.25226109346204,0.857105051885908
IREB2,ENSG00000136381.13,protein_coding,12.1637052834073,-1.81564268519219,0.510436648181804,-3.55703825667609,0.0003750595531712,0.12536463404807,-1.12641371707121,0.293754490850378
PLEKHA4,ENSG00000105559.12,protein_coding,5.5193394121369,-3.57681047630301,1.00579430134031,-3.55620475432859,0.0003762508794857,0.12536463404807,-1.83517707010386,0.477238475980442
RNY5,ENSG00000286171.1,lncRNA,2.38545615290663,4.24345356157148,1.19327177754828,3.55615010881272,0.0003763291078366,0.12536463404807,3.50617942421494,0.275423014060019
HBB,ENSG00000244734.4,protein_coding,1439.09390789703,-0.642528585926909,0.182529704613549,-3.52013162617704,0.0004313326868162,0.131437830745544,-0.328698576419364,0.870378725940802
EPB42,ENSG00000166947.15,protein_coding,4.02222892796701,-4.16957635509395,1.18706154760439,-3.51251909684765,0.0004438801038311,0.131437830745544,-0.2488537645202,0.998086042062166
RNU1-27P,ENSG00000206596.1,snRNA,83.5192740033151,1.20467680154713,0.345216498221811,3.4896269667074,0.0004836952231445,0.135689238913712,0.600455807748528,0.953507896005218
AIF1,ENSG00000204472.13,protein_coding,120.718560273558,0.730833575494785,0.215321267099315,3.3941541647983,0.000688409274373,0.183461071620413,0.331226785265222,0.942191637017041
RN7SL396P,ENSG00000244642.3,misc_RNA,15.7189909015149,1.16213672536325,0.343761399939953,3.38064926884243,0.0007231478448305,0.183541810140324,0.846064806699219,0.492304650125732
SETD1A,ENSG00000099381.19,protein_coding,14.6970809144848,1.42384103109918,0.423883014621952,3.35904242912177,0.0007821305786588,0.186362201800971,1.10844875288861,0.296475752002808
ATP5IF1,ENSG00000130770.18,protein_coding,25.9969041607479,1.05436027135087,0.314607746429887,3.35134872969774,0.0008041896137752,0.186362201800971,0.683984836916271,0.667026324999398
RELL1,ENSG00000181826.10,protein_coding,5.52186029780515,-3.16400341123281,0.954113354161447,-3.31617139350659,0.0009125984129224,0.200723872313726,-1.68213613968065,0.535194134240098
BAG1,ENSG00000107262.26,protein_coding,24.7743358305515,-1.30331727553113,0.394054537979085,-3.3074540448518,0.0009414815774565,0.200723872313726,-0.544967204019398,0.922405531070794
DENND11,ENSG00000257093.7,protein_coding,11.14733063778,1.48948351508747,0.454087850491719,3.28016597113212,0.0010374603497359,0.212679371695864,0.739632473174906,0.95182832588077
RBM23,ENSG00000100461.18,protein_coding,103.51891349729,0.884194432341364,0.271254626356406,3.25964738083253,0.001115508068999,0.220209555843154,0.565918400459497,0.668581646012979
H19,ENSG00000130600.19,lncRNA,36.7740660891257,-1.35019708421796,0.418882739670152,-3.22332948185252,0.0012670971451009,0.233096990759577,-0.897516428754179,0.483493776442193
C1orf162,ENSG00000143110.12,protein_coding,26.4984510735686,1.00962714383313,0.313929484828126,3.21609531002128,0.0012994766701689,0.233096990759577,0.64325003336912,0.784543500352545
PPP4R1,ENSG00000154845.16,protein_coding,11.873754960863,1.54050728146189,0.479409391157447,3.21334398089828,0.001311990567127,0.233096990759577,1.21786687574259,0.296475752002808
CACNG2,ENSG00000166862.7,protein_coding,3.85472199020205,4.80992641072565,1.51330753272453,3.17841965807568,0.0014808025072388,0.236101788310347,4.23774397683181,
