gene_name,pathway
RNY5,Other
RNA5SP259,Other
PLEKHA4,Other
MTRNR2L12,Other
MTRNR2L8,Other
MTCO1P12,Other
LCAT,Other
RNA5SP150,Other
MTND1P23,Other
EPB42,Erythropoiesis
TREML1,Other
PDE5A,Other
FILIP1L,Other
RNY3P1,Other
LLNLF-96A1.1,Other
PITPNM2,Other
TNS2,Other
SNORD3A,Other
SILC1,Other
DENND1B,Other
RNU5A-1,Other
MIR124-2HG,Other
MTATP6P1,Other
ABCC3,Other
THBS1,Signaling
SCFD2,Other
CXCL5,Immune
CCDC26,Other
CMTM5,Other
SORBS3,Other
CMTM6,Other
SOGA1,Other
ZNF542P,Other
RNU4-2,Other
NUTF2,Other
JAM3,Other
PPP1R14A,Other
CACNG2,Other
RELL1,Other
RNA5SP202,Other
RNU5B-1,Other
ZSWIM9,Other
MUC19,Other
DNAJC16,Other
ENAH,Other
VCL,Other
EGF,Signaling
PDLIM7,Other
MTCYBP29,Other
RAPH1,Other
RNA5SP429,Other
MIR4435-2HG,Other
RNY3,Other
MPIG6B,Other
SLX4,Other
F13A1,Coagulation
GNB5,Other
RNA5SP298,Other
PDGFA,Signaling
CD34,Immune
TMEM140,Other
SLC35E1,Other
NES,Other
ITGA2B,Coagulation
SLC24A1,Other
ENDOD1,Other
TMEM91,Other
YES1,Other
CGNL1,Other
GP1BA,Coagulation
FHDC1,Other
TPP1,Other
HRAT92,Other
ATG2A,Other
RNA5SP141,Other
MTND2P28,Other
PDIA6,Other
RNF24,Other
SGCE,Other
ATP2A3,Other
H19,Other
DSP,Other
VTRNA1-1,Other
ITGB3,Coagulation
SIAE,Other
AFAP1,Other
C1orf198,Other
RNA5S9,Other
C2orf88,Other
TJP1,Other
DYNC1LI2,Other
THAP11,Other
AP003068.23,Other
MYLK,Other
RN7SL396P,Other
PROS1,Coagulation
CAVIN2,Other
CLU,Other
TUBB1,Other
ITGB5,Other
DSTYK,Other
MYL9,Other
KRT10,Other
DEFA3,Other
UBXN11,Other
MYO10,Other
WWTR1,Other
SCAMP2,Other
SPARC,Signaling
LINC00989,Other
GUCY1B1,Other
DDX11L10,Other
ACVR1,Other
CENPF,Other
FAM107A,Other
CRIP2,Other
PRAG1,Other
PITPNM3,Other
ENKUR,Other
IL6ST,Signaling
EGR1,Transcription
RNF5,Other
NOTCH1,Transcription
RN7SL151P,Other
STRIP1,Other
OSGIN2,Other
DLAT,Other
PIEZO1,Other
TRIM23,Other
SPSB3,Other
